SURVEY: VIRGO_PROJECT
SNID: SN1960R
RA: 186.35345833
DECL: 18.15536111
MWEBV: 0.0000
REDSHIFT_HELIO: 0.000000
FILTERS: bessellb bessellv standard::b

# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 53
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 2437317.5 standard::b 5.0323708970974526 -999.0 13.5 -999.0 25.0 vega
OBS: 2437318.5 standard::b 2.453424185102148 -999.0 14.28 -999.0 25.0 vega
OBS: 2437341.4 standard::b 1.4920131199443285 -999.0 14.82 -999.0 25.0 vega
OBS: 2437397.4 standard::b 0.7273989035809021 -999.0 15.6 -999.0 25.0 vega
OBS: 2437427.45 standard::b 0.5517884963572877 -999.0 15.9 -999.0 25.0 vega
OBS: 2437321.5 standard::b 1.9132540534286417 -999.0 14.55 -999.0 25.0 vega
OBS: 2437342.4 standard::b 1.2640744174742793 -999.0 15.0 -999.0 25.0 vega
OBS: 2437398.4 standard::b 0.6946605599998822 -999.0 15.65 -999.0 25.0 vega
OBS: 2437429.45 standard::b 0.5269539230731264 -999.0 15.95 -999.0 25.0 vega
OBS: 2437321.6 standard::b 2.1967095702876835 -999.0 14.4 -999.0 25.0 vega
OBS: 2437343.4 standard::b 1.3482568706244629 -999.0 14.93 -999.0 25.0 vega
OBS: 2437409.4 standard::b 0.6050240551383992 -999.0 15.8 -999.0 25.0 vega
OBS: 2437430.45 standard::b 0.5125929657277636 -999.0 15.98 -999.0 25.0 vega
OBS: 2437322.5 standard::b 1.744908435168552 -999.0 14.65 -999.0 25.0 vega
OBS: 2437344.5 standard::b 1.5197517148390471 -999.0 14.8 -999.0 25.0 vega
OBS: 2437409.4 standard::b 0.6162722921295526 -999.0 15.78 -999.0 25.0 vega
OBS: 2437432.5 standard::b 0.48058768968381044 -999.0 16.05 -999.0 25.0 vega
OBS: 2437326.6 standard::b 1.827143436199815 -999.0 14.6 -999.0 25.0 vega
OBS: 2437345.4 standard::b 1.451351620264655 -999.0 14.85 -999.0 25.0 vega
OBS: 2437422.3 standard::b 0.5517884963572877 -999.0 15.9 -999.0 25.0 vega
OBS: 2437458.4 standard::b 0.5032370897097452 -999.0 16.0 -999.0 25.0 vega
OBS: 2437326.6 standard::b 1.8611125688527346 -999.0 14.58 -999.0 25.0 vega
OBS: 2437382.4 standard::b 0.7075752640367302 -999.0 15.63 -999.0 25.0 vega
OBS: 2437425.4 standard::b 0.4895224819167537 -999.0 16.03 -999.0 25.0 vega
OBS: 2437466.4 standard::b 0.5032370897097452 -999.0 16.0 -999.0 25.0 vega
OBS: 2437327.6 standard::b 1.6663746188722341 -999.0 14.7 -999.0 25.0 vega
OBS: 2437384.6 standard::b 1.0514113044328186 -999.0 15.2 -999.0 25.0 vega
OBS: 2437427.4 standard::b 0.5367507279436181 -999.0 15.93 -999.0 25.0 vega
OBS: 2437469.4 standard::b 0.5032370897097452 -999.0 16.0 -999.0 25.0 vega
OBS: 2437339.4 standard::b 1.3860300370629424 -999.0 14.9 -999.0 25.0 vega
OBS: 2437396.4 standard::b 0.7477779281204939 -999.0 15.57 -999.0 25.0 vega
OBS: 2437312.5 standard::b 4.14736866518018 -999.0 13.71 -999.0 25.0 vega
OBS: 2437354.6 standard::b 1.174282644222034 -999.0 15.08 -999.0 25.0 vega
OBS: 2437377.5 standard::b 1.0040900005924676 -999.0 15.25 -999.0 25.0 vega
OBS: 2437378.5 standard::b 0.9677710849016319 -999.0 15.29 -999.0 25.0 vega
OBS: 2437314.5 standard::b 3.2641690462434414 -999.0 13.97 -999.0 25.0 vega
OBS: 2437377.4 standard::b 0.8428933783616153 -999.0 15.44 -999.0 25.0 vega
OBS: 2437378.5 standard::b 0.9767257604985351 -999.0 15.28 -999.0 25.0 vega
OBS: 2437405.3 standard::b 0.5517884963572877 -999.0 15.9 -999.0 25.0 vega
OBS: 2437326.6 standard::b 1.6209612842803622 -999.0 14.73 -999.0 25.0 vega
OBS: 2437377.5 standard::b 0.8907844806528064 -999.0 15.38 -999.0 25.0 vega
OBS: 2437312.5 bessellb 3.1830506169212414 -999.0 14.0 -999.0 25.0 vega
OBS: 2437354.6 bessellb 0.8449743871728805 -999.0 15.44 -999.0 25.0 vega
OBS: 2437377.5 bessellb 0.6065177913832108 -999.0 15.8 -999.0 25.0 vega
OBS: 2437378.5 bessellb 0.6650335338246117 -999.0 15.7 -999.0 25.0 vega
OBS: 2437314.5 bessellb 2.2638286133969543 -999.0 14.37 -999.0 25.0 vega
OBS: 2437377.4 bessellb 0.6963755986789238 -999.0 15.65 -999.0 25.0 vega
OBS: 2437377.5 bessellb 0.6235101746456138 -999.0 15.77 -999.0 25.0 vega
OBS: 2437405.3 bessellb 0.3970484864548378 -999.0 16.26 -999.0 25.0 vega
OBS: 2437326.6 bessellb 1.4152838302200188 -999.0 14.88 -999.0 25.0 vega
OBS: 2437288.5 bessellb 20.08369164598666 -999.0 12.0 -999.0 25.0 vega
OBS: 2437315.5 bessellb 2.3059163296366307 -999.0 14.35 -999.0 25.0 vega
OBS: 2437315.5 bessellv 5.020416959791174 -999.0 13.08 -999.0 25.0 vega
