SURVEY: VIRGO_PROJECT
SNID: SN1983G
RA: 193.08708000
DECL: -1.20333000
MWEBV: 0.0000
REDSHIFT_HELIO: 0.000000
FILTERS: bessellb besselli bessellr bessellux bessellv standard::b

# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 93
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 2445429.14 bessellv 5.404304215132452 -999.0 13.0 -999.0 25.0 vega
OBS: 2445431.1 bessellv 5.404304215132452 -999.0 13.0 -999.0 25.0 vega
OBS: 2445435.1 bessellv 6.497402751706707 -999.0 12.8 -999.0 25.0 vega
OBS: 2445438.74 bessellb 6.235101746456138 -999.0 13.27 -999.0 25.0 vega
OBS: 2445440.84 bessellb 5.138585000238634 -999.0 13.48 -999.0 25.0 vega
OBS: 2445434.4 standard::b 5.517884963572877 -999.0 13.4 -999.0 25.0 vega
OBS: 2445435.72 bessellv 7.124260448807153 -999.0 12.7 -999.0 25.0 vega
OBS: 2445439.72 bessellv 5.925701737217443 -999.0 12.9 -999.0 25.0 vega
OBS: 2445441.72 bessellv 4.83882357654075 -999.0 13.12 -999.0 25.0 vega
OBS: 2445434.7 bessellb 7.777563128156771 -999.0 13.03 -999.0 25.0 vega
OBS: 2445435.6 bessellb 7.427515124703396 -999.0 13.08 -999.0 25.0 vega
OBS: 2445441.8 bessellb 3.6211252339667097 -999.0 13.86 -999.0 25.0 vega
OBS: 2445442.8 bessellb 3.6211252339667097 -999.0 13.86 -999.0 25.0 vega
OBS: 2445443.8 bessellb 3.3330631708692633 -999.0 13.95 -999.0 25.0 vega
OBS: 2445464.7 bessellb 0.5899884977393542 -999.0 15.83 -999.0 25.0 vega
OBS: 2445465.7 bessellb 0.5686480377254961 -999.0 15.87 -999.0 25.0 vega
OBS: 2445466.7 bessellb 0.5331427954843793 -999.0 15.94 -999.0 25.0 vega
OBS: 2445495.6 bessellb 0.3970484864548378 -999.0 16.26 -999.0 25.0 vega
OBS: 2445438.74 bessellv 6.320330488483519 -999.0 12.83 -999.0 25.0 vega
OBS: 2445438.74 bessellux 1.924152371513716 -999.0 13.48 -999.0 25.0 vega
OBS: 2445440.84 bessellv 5.659001226017007 -999.0 12.95 -999.0 25.0 vega
OBS: 2445440.84 bessellux 1.4462369740091336 -999.0 13.79 -999.0 25.0 vega
OBS: 2445434.7 bessellv 6.679435924246298 -999.0 12.77 -999.0 25.0 vega
OBS: 2445434.7 bessellux 2.188968239915867 -999.0 13.34 -999.0 25.0 vega
OBS: 2445435.6 bessellv 6.497402751706707 -999.0 12.8 -999.0 25.0 vega
OBS: 2445435.6 bessellux 2.0148348790118544 -999.0 13.43 -999.0 25.0 vega
OBS: 2445441.8 bessellv 10.983475560856611 -999.0 12.23 -999.0 25.0 vega
OBS: 2445441.8 bessellux 1.0671843808904513 -999.0 14.12 -999.0 25.0 vega
