SURVEY: VIRGO_PROJECT
SNID: SN1992P
RA: 190.70387500
DECL: 10.36005556
MWEBV: 0.0000
REDSHIFT_HELIO: 0.026500
FILTERS: bessellb besselli bessellv

# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 27
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 2448718.67 bessellb 0.44344886210830725 -999.0 16.14 -999.0 25.0 vega
OBS: 2448719.7 bessellb 0.44755204391023123 -999.0 16.13 -999.0 25.0 vega
OBS: 2448720.72 bessellb 0.4274088837930105 -999.0 16.18 -999.0 25.0 vega
OBS: 2448721.66 bessellb 0.4274088837930105 -999.0 16.18 -999.0 25.0 vega
OBS: 2448726.52 bessellb 0.33025054640428436 -999.0 16.46 -999.0 25.0 vega
OBS: 2448728.68 bessellb 0.3212503021655937 -999.0 16.49 -999.0 25.0 vega
OBS: 2448731.73 bessellb 0.23059163296366256 -999.0 16.85 -999.0 25.0 vega
OBS: 2448762.51 bessellb 0.023705195689824314 -999.0 19.32 -999.0 25.0 vega
OBS: 2448767.56 bessellb 0.022225090845522433 -999.0 19.39 -999.0 25.0 vega
OBS: 2448767.56 bessellb 0.014283792902672196 -999.0 19.87 -999.0 25.0 vega
OBS: 2448776.56 bessellb 0.019357244909916263 -999.0 19.54 -999.0 25.0 vega
OBS: 2448793.5 bessellb 0.014549348439410388 -999.0 19.85 -999.0 25.0 vega
OBS: 2448719.7 bessellv 0.2969886060976333 -999.0 16.15 -999.0 25.0 vega
OBS: 2448720.72 bessellv 0.2969886060976333 -999.0 16.15 -999.0 25.0 vega
OBS: 2448721.66 bessellv 0.2915679531367233 -999.0 16.17 -999.0 25.0 vega
OBS: 2448726.52 bessellv 0.25394507118010706 -999.0 16.32 -999.0 25.0 vega
OBS: 2448728.68 bessellv 0.2380892505845564 -999.0 16.39 -999.0 25.0 vega
OBS: 2448731.73 bessellv 0.19803401292521983 -999.0 16.59 -999.0 25.0 vega
OBS: 2448762.51 bessellv 0.04292791427119149 -999.0 18.25 -999.0 25.0 vega
OBS: 2448767.56 bessellv 0.04024758145724047 -999.0 18.32 -999.0 25.0 vega
OBS: 2448767.56 bessellv 0.039512980307175094 -999.0 18.34 -999.0 25.0 vega
OBS: 2448776.56 bessellv 0.030251003652124568 -999.0 18.63 -999.0 25.0 vega
OBS: 2448793.5 bessellv 0.019986639908612575 -999.0 19.08 -999.0 25.0 vega
OBS: 2448720.72 besselli 0.16811928136404433 -999.0 16.49 -999.0 25.0 vega
OBS: 2448728.68 besselli 0.1263623007991038 -999.0 16.8 -999.0 25.0 vega
OBS: 2448731.73 besselli 0.09070213814551131 -999.0 17.16 -999.0 25.0 vega
OBS: 2448767.56 besselli 0.05829315012051161 -999.0 17.64 -999.0 25.0 vega
