SURVEY: VIRGO_PROJECT
SNID: SN1994D
RA: 188.50997917
DECL: 7.70158333
MWEBV: 0.0000
REDSHIFT_HELIO: 0.001494
FILTERS: bessellb besselli bessellr bessellux bessellv

# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 565
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 2449421.66 bessellux 2.0334779166106793 -999.0 13.42 -999.0 25.0 vega
OBS: 2449421.66 bessellux 2.071283093657866 -999.0 13.4 -999.0 25.0 vega
OBS: 2449421.7 bessellux 2.444778177720934 -999.0 13.22 -999.0 25.0 vega
OBS: 2449422.67 bessellux 3.5994774767332043 -999.0 12.8 -999.0 25.0 vega
OBS: 2449422.68 bessellux 3.5994774767332043 -999.0 12.8 -999.0 25.0 vega
OBS: 2449422.7 bessellux 3.3131375019942664 -999.0 12.89 -999.0 25.0 vega
OBS: 2449423.64 bessellux 4.8779737664648675 -999.0 12.47 -999.0 25.0 vega
OBS: 2449423.8 bessellux 5.014636533759269 -999.0 12.44 -999.0 25.0 vega
OBS: 2449423.9 bessellux 8.095421397648991 -999.0 11.92 -999.0 25.0 vega
OBS: 2449424.7 bessellux 6.795782337339255 -999.0 12.11 -999.0 25.0 vega
OBS: 2449424.89 bessellux 9.380791004129334 -999.0 11.76 -999.0 25.0 vega
OBS: 2449425.7 bessellux 8.714439524243758 -999.0 11.84 -999.0 25.0 vega
OBS: 2449426.61 bessellux 10.005515299076034 -999.0 11.69 -999.0 25.0 vega
OBS: 2449426.7 bessellux 10.477060707622538 -999.0 11.64 -999.0 25.0 vega
OBS: 2449426.9 bessellux 10.477060707622538 -999.0 11.64 -999.0 25.0 vega
OBS: 2449427.65 bessellux 11.487868625576626 -999.0 11.54 -999.0 25.0 vega
OBS: 2449427.7 bessellux 11.918990136219943 -999.0 11.5 -999.0 25.0 vega
OBS: 2449428.62 bessellux 12.480714835572995 -999.0 11.45 -999.0 25.0 vega
OBS: 2449428.7 bessellux 12.949096291628418 -999.0 11.41 -999.0 25.0 vega
OBS: 2449429.7 bessellux 14.198401743529136 -999.0 11.31 -999.0 25.0 vega
OBS: 2449430.7 bessellux 14.329777937332993 -999.0 11.3 -999.0 25.0 vega
OBS: 2449430.89 bessellux 19.59925034927777 -999.0 10.96 -999.0 25.0 vega
OBS: 2449431.7 bessellux 13.93925170588109 -999.0 11.33 -999.0 25.0 vega
OBS: 2449431.85 bessellux 19.065116365369683 -999.0 10.99 -999.0 25.0 vega
OBS: 2449433.7 bessellux 13.068912804410859 -999.0 11.4 -999.0 25.0 vega
