SURVEY: VIRGO_PROJECT
SNID: SN2008ar
RA: 186.15800000
DECL: 10.83800000
MWEBV: 0.0213
REDSHIFT_HELIO: 0.026000
FILTERS: B I R V i' r'
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 176
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 54525.4 B -9.9900000000e+02 -9.9900000000e+02 17.1480 0.0240 25.0 ab
OBS: 54525.4 R -9.9900000000e+02 -9.9900000000e+02 17.0190 0.0440 25.0 ab
OBS: 54525.4 V -9.9900000000e+02 -9.9900000000e+02 17.0970 0.0230 25.0 ab
OBS: 54525.4 I -9.9900000000e+02 -9.9900000000e+02 17.2110 0.0350 25.0 ab
OBS: 54526.5 i' -9.9900000000e+02 -9.9900000000e+02 17.2691 0.0326 25.0 ab
OBS: 54526.5 r' -9.9900000000e+02 -9.9900000000e+02 16.9314 0.0341 25.0 ab
OBS: 54526.5 V -9.9900000000e+02 -9.9900000000e+02 16.8902 0.0176 25.0 ab
OBS: 54526.5 B -9.9900000000e+02 -9.9900000000e+02 16.8816 0.0206 25.0 ab
OBS: 54528.4 R -9.9900000000e+02 -9.9900000000e+02 16.6200 0.0450 25.0 ab
OBS: 54528.4 B -9.9900000000e+02 -9.9900000000e+02 16.7080 0.0500 25.0 ab
OBS: 54528.4 V -9.9900000000e+02 -9.9900000000e+02 16.7060 0.0200 25.0 ab
OBS: 54528.4 I -9.9900000000e+02 -9.9900000000e+02 16.8570 0.0290 25.0 ab
OBS: 54529.3 i' -9.9900000000e+02 -9.9900000000e+02 16.9915 0.0342 25.0 ab
OBS: 54529.4 r' -9.9900000000e+02 -9.9900000000e+02 16.6082 0.0230 25.0 ab
OBS: 54529.4 V -9.9900000000e+02 -9.9900000000e+02 16.5656 0.0204 25.0 ab
OBS: 54529.4 B -9.9900000000e+02 -9.9900000000e+02 16.4983 0.0183 25.0 ab
OBS: 54530.4 I -9.9900000000e+02 -9.9900000000e+02 16.8460 0.0280 25.0 ab
OBS: 54530.4 R -9.9900000000e+02 -9.9900000000e+02 16.5260 0.0360 25.0 ab
OBS: 54530.4 V -9.9900000000e+02 -9.9900000000e+02 16.5490 0.0190 25.0 ab
OBS: 54530.4 B -9.9900000000e+02 -9.9900000000e+02 16.5420 0.0220 25.0 ab
