SURVEY: VIRGO_PROJECT
SNID: SN2012cg
RA: 186.80350000
DECL: 9.42030000
MWEBV: 0.0158
REDSHIFT_HELIO: 0.001500
FILTERS: B CLEAR F160W F350LP F555W F814W I I1 I2 Ic R Rc U UVM2 UVW1 UVW2 V
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 714
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 56064.2 B -9.9900000000e+02 -9.9900000000e+02 17.3440 0.0430 25.0 ab
OBS: 56064.2 V -9.9900000000e+02 -9.9900000000e+02 17.1260 0.0390 25.0 ab
OBS: 56064.2 CLEAR -9.9900000000e+02 -9.9900000000e+02 16.8280 0.0360 25.0 ab
OBS: 56065.3 B -9.9900000000e+02 -9.9900000000e+02 15.9060 0.0700 25.0 ab
OBS: 56065.3 V -9.9900000000e+02 -9.9900000000e+02 15.5690 0.0580 25.0 ab
OBS: 56065.3 I -9.9900000000e+02 -9.9900000000e+02 15.2840 0.0920 25.0 ab
OBS: 56065.3 R -9.9900000000e+02 -9.9900000000e+02 15.4110 0.0730 25.0 ab
OBS: 56065.3 CLEAR -9.9900000000e+02 -9.9900000000e+02 15.3600 0.1000 25.0 ab
OBS: 56065.7 U -9.9900000000e+02 -9.9900000000e+02 15.5270 0.0760 25.0 vega
OBS: 56065.7 B -9.9900000000e+02 -9.9900000000e+02 15.5180 0.0630 25.0 vega
OBS: 56065.7 V -9.9900000000e+02 -9.9900000000e+02 15.3050 0.0900 25.0 vega
OBS: 56065.8 U -9.9900000000e+02 -9.9900000000e+02 15.4930 0.0760 25.0 vega
OBS: 56065.8 B -9.9900000000e+02 -9.9900000000e+02 15.4880 0.0630 25.0 vega
OBS: 56065.8 V -9.9900000000e+02 -9.9900000000e+02 15.2850 0.0890 25.0 vega
OBS: 56065.8 UVW1 -9.9900000000e+02 -9.9900000000e+02 17.1350 0.0920 25.0 vega
OBS: 56065.8 UVW2 -9.9900000000e+02 -9.9900000000e+02 18.8320 0.1700 25.0 vega
OBS: 56065.8 UVM2 -9.9900000000e+02 -9.9900000000e+02 19.9400 0.3990 25.0 vega
OBS: 56065.9 U -9.9900000000e+02 -9.9900000000e+02 15.4360 0.0740 25.0 vega
OBS: 56065.9 B -9.9900000000e+02 -9.9900000000e+02 15.3110 0.0550 25.0 vega
OBS: 56065.9 V -9.9900000000e+02 -9.9900000000e+02 15.1540 0.0830 25.0 vega
OBS: 56065.9 U -9.9900000000e+02 -9.9900000000e+02 15.4900 0.0760 25.0 vega
OBS: 56065.9 B -9.9900000000e+02 -9.9900000000e+02 15.2760 0.0550 25.0 vega
OBS: 56065.9 V -9.9900000000e+02 -9.9900000000e+02 15.1930 0.0850 25.0 vega
OBS: 56066.1 B -9.9900000000e+02 -9.9900000000e+02 15.3040 0.0300 25.0 ab
OBS: 56066.1 V -9.9900000000e+02 -9.9900000000e+02 14.9980 0.0250 25.0 ab
OBS: 56066.1 I -9.9900000000e+02 -9.9900000000e+02 14.7110 0.0440 25.0 ab
OBS: 56066.2 B -9.9900000000e+02 -9.9900000000e+02 15.3210 0.0320 25.0 ab
OBS: 56066.2 R -9.9900000000e+02 -9.9900000000e+02 14.8830 0.0350 25.0 ab
