SURVEY: VIRGO_PROJECT
SNID: SN2020nvb
RA: 187.24490000
DECL: 3.57280000
MWEBV: 0.0247
REDSHIFT_HELIO: 0.002400
FILTERS: B V g i r
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 61
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 59031.7 B -9.9900000000e+02 -9.9900000000e+02 13.0940 0.0200 25.0 ab
OBS: 59031.7 g -9.9900000000e+02 -9.9900000000e+02 12.9380 0.0060 25.0 ab
OBS: 59031.7 V -9.9900000000e+02 -9.9900000000e+02 12.9770 0.0220 25.0 ab
OBS: 59031.7 i -9.9900000000e+02 -9.9900000000e+02 13.2090 0.0080 25.0 ab
OBS: 59031.7 r -9.9900000000e+02 -9.9900000000e+02 12.9420 0.0050 25.0 ab
OBS: 59032.8 g -9.9900000000e+02 -9.9900000000e+02 12.5170 0.0080 25.0 ab
OBS: 59032.8 B -9.9900000000e+02 -9.9900000000e+02 12.7910 0.0210 25.0 ab
OBS: 59032.8 r -9.9900000000e+02 -9.9900000000e+02 12.6880 0.0100 25.0 ab
OBS: 59032.8 V -9.9900000000e+02 -9.9900000000e+02 12.7600 0.0240 25.0 ab
OBS: 59032.8 i -9.9900000000e+02 -9.9900000000e+02 13.0730 0.0170 25.0 ab
OBS: 59033.8 V -9.9900000000e+02 -9.9900000000e+02 12.5740 0.0220 25.0 ab
OBS: 59033.8 B -9.9900000000e+02 -9.9900000000e+02 12.6350 0.0200 25.0 ab
OBS: 59033.8 i -9.9900000000e+02 -9.9900000000e+02 12.9380 0.0060 25.0 ab
OBS: 59035.4 B -9.9900000000e+02 -9.9900000000e+02 12.5220 0.0200 25.0 ab
OBS: 59035.4 V -9.9900000000e+02 -9.9900000000e+02 12.5130 0.0220 25.0 ab
OBS: 59037.4 V -9.9900000000e+02 -9.9900000000e+02 12.3640 0.0220 25.0 ab
OBS: 59037.4 i -9.9900000000e+02 -9.9900000000e+02 12.8860 0.0050 25.0 ab
OBS: 59038.7 V -9.9900000000e+02 -9.9900000000e+02 12.3060 0.0220 25.0 ab
OBS: 59038.7 B -9.9900000000e+02 -9.9900000000e+02 12.4170 0.0200 25.0 ab
OBS: 59038.7 i -9.9900000000e+02 -9.9900000000e+02 12.9100 0.0060 25.0 ab
OBS: 59047.8 r -9.9900000000e+02 -9.9900000000e+02 12.7560 0.0050 25.0 ab
OBS: 59047.8 B -9.9900000000e+02 -9.9900000000e+02 12.9540 0.0200 25.0 ab
OBS: 59047.8 i -9.9900000000e+02 -9.9900000000e+02 13.4920 0.0090 25.0 ab
OBS: 59047.8 V -9.9900000000e+02 -9.9900000000e+02 12.5600 0.0220 25.0 ab
OBS: 59051.4 g -9.9900000000e+02 -9.9900000000e+02 13.0360 0.0060 25.0 ab
OBS: 59051.4 r -9.9900000000e+02 -9.9900000000e+02 12.9340 0.0060 25.0 ab
OBS: 59051.4 i -9.9900000000e+02 -9.9900000000e+02 13.4560 0.0100 25.0 ab
OBS: 59051.4 B -9.9900000000e+02 -9.9900000000e+02 13.5540 0.0210 25.0 ab
OBS: 59051.4 V -9.9900000000e+02 -9.9900000000e+02 12.9570 0.0220 25.0 ab
OBS: 59053.7 r -9.9900000000e+02 -9.9900000000e+02 13.0520 0.0180 25.0 ab
OBS: 59053.7 i -9.9900000000e+02 -9.9900000000e+02 13.5120 0.0070 25.0 ab
OBS: 59053.7 g -9.9900000000e+02 -9.9900000000e+02 13.3080 0.0060 25.0 ab
OBS: 59053.7 V -9.9900000000e+02 -9.9900000000e+02 12.9560 0.0220 25.0 ab
OBS: 59057.7 r -9.9900000000e+02 -9.9900000000e+02 13.2310 0.0620 25.0 ab
OBS: 59057.7 V -9.9900000000e+02 -9.9900000000e+02 13.3680 0.0490 25.0 ab
OBS: 59060.2 V -9.9900000000e+02 -9.9900000000e+02 13.5280 0.0300 25.0 ab
OBS: 59060.2 g -9.9900000000e+02 -9.9900000000e+02 14.0150 0.0190 25.0 ab
OBS: 59060.2 B -9.9900000000e+02 -9.9900000000e+02 15.0470 0.0500 25.0 ab
OBS: 59060.7 V -9.9900000000e+02 -9.9900000000e+02 13.4520 0.0220 25.0 ab
OBS: 59060.7 r -9.9900000000e+02 -9.9900000000e+02 13.2760 0.0050 25.0 ab
OBS: 59060.7 g -9.9900000000e+02 -9.9900000000e+02 14.1660 0.0050 25.0 ab
OBS: 59060.7 i -9.9900000000e+02 -9.9900000000e+02 13.4160 0.0060 25.0 ab
OBS: 59063.7 B -9.9900000000e+02 -9.9900000000e+02 14.8390 0.0210 25.0 ab
OBS: 59063.7 i -9.9900000000e+02 -9.9900000000e+02 13.6240 0.0080 25.0 ab
OBS: 59063.7 r -9.9900000000e+02 -9.9900000000e+02 13.5080 0.0050 25.0 ab
OBS: 59063.7 g -9.9900000000e+02 -9.9900000000e+02 14.4590 0.0060 25.0 ab
OBS: 59063.7 V -9.9900000000e+02 -9.9900000000e+02 13.7100 0.0220 25.0 ab
OBS: 59066.3 r -9.9900000000e+02 -9.9900000000e+02 13.6110 0.0300 25.0 ab
OBS: 59066.3 i -9.9900000000e+02 -9.9900000000e+02 13.6580 0.0410 25.0 ab
OBS: 59066.3 g -9.9900000000e+02 -9.9900000000e+02 14.5340 0.0280 25.0 ab
OBS: 59066.3 V -9.9900000000e+02 -9.9900000000e+02 14.0240 0.0350 25.0 ab
OBS: 59066.7 B -9.9900000000e+02 -9.9900000000e+02 15.1920 0.0260 25.0 ab
OBS: 59066.7 r -9.9900000000e+02 -9.9900000000e+02 13.8100 0.0110 25.0 ab
OBS: 59066.7 V -9.9900000000e+02 -9.9900000000e+02 14.0280 0.0250 25.0 ab
OBS: 59066.7 i -9.9900000000e+02 -9.9900000000e+02 13.8330 0.0120 25.0 ab
OBS: 59066.7 g -9.9900000000e+02 -9.9900000000e+02 14.7040 0.0090 25.0 ab
OBS: 59071.4 r -9.9900000000e+02 -9.9900000000e+02 13.9780 0.0080 25.0 ab
OBS: 59071.4 V -9.9900000000e+02 -9.9900000000e+02 14.1670 0.0240 25.0 ab
OBS: 59071.4 g -9.9900000000e+02 -9.9900000000e+02 14.7140 0.0100 25.0 ab
OBS: 59071.4 B -9.9900000000e+02 -9.9900000000e+02 15.1540 0.0240 25.0 ab
OBS: 59071.4 i -9.9900000000e+02 -9.9900000000e+02 14.0120 0.0120 25.0 ab
