SURVEY: VIRGO_PROJECT
SNID: SN2021smj
RA: 186.69400000
DECL: 8.88270000
MWEBV: 0.0169
REDSHIFT_HELIO: 0.003600
FILTERS: G
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 12
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 59420.2 G -9.9900000000e+02 -9.9900000000e+02 12.8700 0.0000 25.0 ab
OBS: 59420.3 G -9.9900000000e+02 -9.9900000000e+02 12.8300 0.0000 25.0 ab
OBS: 59434.7 G -9.9900000000e+02 -9.9900000000e+02 13.5700 0.0000 25.0 ab
OBS: 59434.8 G -9.9900000000e+02 -9.9900000000e+02 13.5800 0.0000 25.0 ab
OBS: 59435.0 G -9.9900000000e+02 -9.9900000000e+02 13.6100 0.0000 25.0 ab
OBS: 59435.0 G -9.9900000000e+02 -9.9900000000e+02 13.6300 0.0000 25.0 ab
OBS: 59569.1 G -9.9900000000e+02 -9.9900000000e+02 17.5100 0.0000 25.0 ab
OBS: 59604.7 G -9.9900000000e+02 -9.9900000000e+02 18.1400 0.0000 25.0 ab
OBS: 59604.8 G -9.9900000000e+02 -9.9900000000e+02 18.1200 0.0000 25.0 ab
OBS: 59615.5 G -9.9900000000e+02 -9.9900000000e+02 18.3100 0.0000 25.0 ab
OBS: 59615.7 G -9.9900000000e+02 -9.9900000000e+02 18.3100 0.0000 25.0 ab
OBS: 59615.8 G -9.9900000000e+02 -9.9900000000e+02 18.2700 0.0000 25.0 ab
