SURVEY: VIRGO_PROJECT
SNID: SN1960F
RA: 187.92520833
DECL: 3.94658333
MWEBV: 0.0000
REDSHIFT_HELIO: 0.000000
FILTERS: bessellb standard::b

# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 92
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 2437046.35 standard::b 28.958271936830947 -999.0 11.6 -999.0 25.0 vega
OBS: 2437071.43 standard::b 2.895827193683089 -999.0 14.1 -999.0 25.0 vega
OBS: 2437112.39 standard::b 1.0514113044328186 -999.0 15.2 -999.0 25.0 vega
OBS: 2437113.41 standard::b 1.0514113044328186 -999.0 15.2 -999.0 25.0 vega
OBS: 2437056.38 standard::b 12.071816968673009 -999.0 12.55 -999.0 25.0 vega
OBS: 2437081.47 standard::b 2.0406693523150556 -999.0 14.48 -999.0 25.0 vega
OBS: 2437112.4 standard::b 1.0514113044328186 -999.0 15.2 -999.0 25.0 vega
OBS: 2437057.5 standard::b 18.27143436199815 -999.0 12.1 -999.0 25.0 vega
OBS: 2437081.4 standard::b 3.032303324727681 -999.0 14.05 -999.0 25.0 vega
OBS: 2437085.39 standard::b 3.032303324727681 -999.0 14.05 -999.0 25.0 vega
OBS: 2437076.71 standard::b 3.9973542911692714 -999.0 13.75 -999.0 25.0 vega
OBS: 2437083.37 standard::b 3.645630442292235 -999.0 13.85 -999.0 25.0 vega
OBS: 2437104.39 standard::b 1.6663746188722341 -999.0 14.7 -999.0 25.0 vega
OBS: 2437038.88 standard::b 72.73989035809021 -999.0 10.6 -999.0 25.0 vega
OBS: 2437040.91 standard::b 45.89576805812099 -999.0 11.1 -999.0 25.0 vega
OBS: 2437043.9 standard::b 60.502405513839925 -999.0 10.8 -999.0 25.0 vega
OBS: 2437050.96 standard::b 21.967095702876833 -999.0 11.9 -999.0 25.0 vega
OBS: 2437039.9 standard::b 60.502405513839925 -999.0 10.8 -999.0 25.0 vega
OBS: 2437041.5 standard::b 20.034229390192294 -999.0 12.0 -999.0 25.0 vega
OBS: 2437044.9 standard::b 60.502405513839925 -999.0 10.8 -999.0 25.0 vega
OBS: 2437046.35 standard::b 24.086441470795105 -999.0 11.8 -999.0 25.0 vega
OBS: 2437058.43 standard::b 7.975770376749182 -999.0 13.0 -999.0 25.0 vega
OBS: 2437077.36 standard::b 1.9132540534286417 -999.0 14.55 -999.0 25.0 vega
OBS: 2437098.35 standard::b 1.2640744174742793 -999.0 15.0 -999.0 25.0 vega
OBS: 2437047.32 standard::b 20.034229390192294 -999.0 12.0 -999.0 25.0 vega
OBS: 2437069.33 standard::b 3.645630442292235 -999.0 13.85 -999.0 25.0 vega
OBS: 2437078.45 standard::b 1.9132540534286417 -999.0 14.55 -999.0 25.0 vega
OBS: 2437099.36 standard::b 1.3115131278381635 -999.0 14.96 -999.0 25.0 vega
OBS: 2437048.36 standard::b 15.197517148390473 -999.0 12.3 -999.0 25.0 vega
OBS: 2437070.39 standard::b 2.641025789540587 -999.0 14.2 -999.0 25.0 vega
OBS: 2437079.37 standard::b 1.744908435168552 -999.0 14.65 -999.0 25.0 vega
OBS: 2437100.37 standard::b 1.3860300370629424 -999.0 14.9 -999.0 25.0 vega
OBS: 2437049.4 standard::b 13.860300370629425 -999.0 12.4 -999.0 25.0 vega
OBS: 2437072.35 standard::b 2.5221600485026676 -999.0 14.25 -999.0 25.0 vega
OBS: 2437080.37 standard::b 1.827143436199815 -999.0 14.6 -999.0 25.0 vega
OBS: 2437103.38 standard::b 1.3860300370629424 -999.0 14.9 -999.0 25.0 vega
OBS: 2437050.45 standard::b 14.513516202646551 -999.0 12.35 -999.0 25.0 vega
OBS: 2437073.35 standard::b 2.30023730282486 -999.0 14.35 -999.0 25.0 vega
OBS: 2437082.36 standard::b 1.6663746188722341 -999.0 14.7 -999.0 25.0 vega
OBS: 2437104.36 standard::b 1.3236484093981276 -999.0 14.95 -999.0 25.0 vega
OBS: 2437053.52 standard::b 10.040900005924675 -999.0 12.75 -999.0 25.0 vega
OBS: 2437075.35 standard::b 2.1967095702876835 -999.0 14.4 -999.0 25.0 vega
OBS: 2437085.41 standard::b 1.5197517148390471 -999.0 14.8 -999.0 25.0 vega
OBS: 2437114.39 standard::b 1.207181696867301 -999.0 15.05 -999.0 25.0 vega
OBS: 2437057.36 standard::b 8.745258315550196 -999.0 12.9 -999.0 25.0 vega
OBS: 2437076.35 standard::b 2.00342293901923 -999.0 14.5 -999.0 25.0 vega
