SURVEY: VIRGO_PROJECT
SNID: SN1984A
RA: 186.73220833
DECL: 15.05475000
MWEBV: 0.0000
REDSHIFT_HELIO: 0.000000
FILTERS: bessellb bessellr bessellux bessellv standard::b

# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 136
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 2445706.5 standard::b 5.0323708970974526 -999.0 13.5 -999.0 25.0 vega
OBS: 2445709.5 bessellb 7.291947695427382 -999.0 13.1 -999.0 25.0 vega
OBS: 2445729.5 standard::b 7.975770376749182 -999.0 13.0 -999.0 25.0 vega
OBS: 2445736.4 bessellv 3.7388650322963843 -999.0 13.4 -999.0 25.0 vega
OBS: 2445740.67 bessellv 4.495104454164629 -999.0 13.2 -999.0 25.0 vega
OBS: 2445742.7 bessellv 3.10985247890675 -999.0 13.6 -999.0 25.0 vega
OBS: 2445744.7 bessellv 2.8362191695608012 -999.0 13.7 -999.0 25.0 vega
OBS: 2445754.4 bessellv 0.8565244960552328 -999.0 15.0 -999.0 25.0 vega
OBS: 2445764.4 bessellv 0.6497402751706708 -999.0 15.3 -999.0 25.0 vega
OBS: 2445765.4 bessellv 0.6497402751706708 -999.0 15.3 -999.0 25.0 vega
OBS: 2445767.4 bessellv 0.7124260448807151 -999.0 15.2 -999.0 25.0 vega
OBS: 2445785.4 bessellv 0.28362191695608013 -999.0 16.2 -999.0 25.0 vega
OBS: 2445764.6 bessellb 0.9180018255247437 -999.0 15.35 -999.0 25.0 vega
OBS: 2445814.4 bessellb 0.6065177913832108 -999.0 15.8 -999.0 25.0 vega
OBS: 2445818.4 bessellb 0.5044795254017624 -999.0 16.0 -999.0 25.0 vega
OBS: 2445764.5 bessellv 1.7089910488267162 -999.0 14.25 -999.0 25.0 vega
OBS: 2445811.4 bessellv 0.4495104454164629 -999.0 15.7 -999.0 25.0 vega
OBS: 2445819.4 bessellv 0.3256415310890112 -999.0 16.05 -999.0 25.0 vega
OBS: 2445819.4 bessellv 0.3409885436343086 -999.0 16.0 -999.0 25.0 vega
OBS: 2445712.5 bessellb 12.101620925050767 -999.0 12.55 -999.0 25.0 vega
OBS: 2445712.6 bessellb 9.612659186697991 -999.0 12.8 -999.0 25.0 vega
OBS: 2445713.5 bessellb 11.880741450376192 -999.0 12.57 -999.0 25.0 vega
OBS: 2445715.5 bessellb 14.549348439410418 -999.0 12.35 -999.0 25.0 vega
OBS: 2445716.6 bessellb 10.935623380108927 -999.0 12.66 -999.0 25.0 vega
OBS: 2445718.6 bessellb 11.036809457422592 -999.0 12.65 -999.0 25.0 vega
OBS: 2445725.5 bessellb 8.372276154270805 -999.0 12.95 -999.0 25.0 vega
OBS: 2445728.6 bessellb 5.899884977393542 -999.0 13.33 -999.0 25.0 vega
OBS: 2445730.5 bessellb 4.862320084062648 -999.0 13.54 -999.0 25.0 vega
OBS: 2445732.5 bessellb 3.490145598674255 -999.0 13.9 -999.0 25.0 vega
OBS: 2445732.6 bessellb 3.6546310932260146 -999.0 13.85 -999.0 25.0 vega
OBS: 2445733.6 bessellb 3.4581477514933483 -999.0 13.91 -999.0 25.0 vega
OBS: 2445734.6 bessellb 2.984307324547343 -999.0 14.07 -999.0 25.0 vega
OBS: 2445743.7 bessellb 1.4956967322834867 -999.0 14.82 -999.0 25.0 vega
OBS: 2445744.5 bessellb 1.3391941540343002 -999.0 14.94 -999.0 25.0 vega
OBS: 2445745.5 bessellb 1.326916348230829 -999.0 14.95 -999.0 25.0 vega
OBS: 2445752.6 bessellb 0.952452979754731 -999.0 15.31 -999.0 25.0 vega
OBS: 2445755.4 bessellb 0.9095855341997938 -999.0 15.36 -999.0 25.0 vega
OBS: 2445755.5 bessellb 0.8929837272013794 -999.0 15.38 -999.0 25.0 vega
