SURVEY: VIRGO_PROJECT
SNID: SN1990N
RA: 190.73616667
DECL: 13.25650000
MWEBV: 0.0000
REDSHIFT_HELIO: 0.003000
FILTERS: bessellb besselli bessellr bessellux bessellv

# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 136
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 2448071.5 bessellux 1.6452786433994993 -999.0 13.65 -999.0 25.0 vega
OBS: 2448071.5 bessellux 1.6758666571160903 -999.0 13.63 -999.0 25.0 vega
OBS: 2448071.5 bessellux 1.6152489238521721 -999.0 13.67 -999.0 25.0 vega
OBS: 2448084.49 bessellux 5.014636533759269 -999.0 12.44 -999.0 25.0 vega
OBS: 2448084.49 bessellux 4.968662069675018 -999.0 12.45 -999.0 25.0 vega
OBS: 2448091.53 bessellux 2.912322465609795 -999.0 13.03 -999.0 25.0 vega
OBS: 2448091.53 bessellux 2.966466582706663 -999.0 13.01 -999.0 25.0 vega
OBS: 2448091.53 bessellux 2.9392698536026476 -999.0 13.02 -999.0 25.0 vega
OBS: 2448093.51 bessellux 2.3563481640099573 -999.0 13.26 -999.0 25.0 vega
OBS: 2448094.51 bessellux 2.0904484401560426 -999.0 13.39 -999.0 25.0 vega
OBS: 2448095.49 bessellux 1.8890326327906155 -999.0 13.5 -999.0 25.0 vega
OBS: 2448104.48 bessellux 0.619782715355684 -999.0 14.71 -999.0 25.0 vega
OBS: 2448299.87 bessellux 0.0069221253639040435 -999.0 19.59 -999.0 25.0 vega
OBS: 2448071.5 bessellb 3.522439518289826 -999.0 13.89 -999.0 25.0 vega
OBS: 2448072.47 bessellb 4.434488621083073 -999.0 13.64 -999.0 25.0 vega
OBS: 2448072.48 bessellb 4.434488621083073 -999.0 13.64 -999.0 25.0 vega
OBS: 2448075.53 bessellb 7.093221876653817 -999.0 13.13 -999.0 25.0 vega
OBS: 2448076.56 bessellb 7.63560660277597 -999.0 13.05 -999.0 25.0 vega
OBS: 2448084.49 bessellb 9.791371863869886 -999.0 12.78 -999.0 25.0 vega
OBS: 2448084.49 bessellb 9.70160402704653 -999.0 12.79 -999.0 25.0 vega
OBS: 2448091.53 bessellb 7.093221876653817 -999.0 13.13 -999.0 25.0 vega
OBS: 2448093.51 bessellb 5.954475940954913 -999.0 13.32 -999.0 25.0 vega
OBS: 2448094.51 bessellb 5.331427954843792 -999.0 13.44 -999.0 25.0 vega
OBS: 2448097.51 bessellb 3.934083240507779 -999.0 13.77 -999.0 25.0 vega
OBS: 2448098.52 bessellb 3.522439518289826 -999.0 13.89 -999.0 25.0 vega
OBS: 2448104.48 bessellb 1.9717122961695093 -999.0 14.52 -999.0 25.0 vega
OBS: 2448104.5 bessellb 1.9717122961695093 -999.0 14.52 -999.0 25.0 vega
OBS: 2448124.47 bessellb 0.6351020942581393 -999.0 15.75 -999.0 25.0 vega
OBS: 2448253.83 bessellb 0.12789204883460067 -999.0 17.49 -999.0 25.0 vega
OBS: 2448272.82 bessellb 0.08295518665115457 -999.0 17.96 -999.0 25.0 vega
OBS: 2448292.76 bessellb 0.0763560660277597 -999.0 18.05 -999.0 25.0 vega
OBS: 2448299.87 bessellb 0.07158854650595133 -999.0 18.12 -999.0 25.0 vega
OBS: 2448307.8 bessellb 0.06065177913832109 -999.0 18.3 -999.0 25.0 vega
OBS: 2448322.83 bessellb 0.048177420655829535 -999.0 18.55 -999.0 25.0 vega
OBS: 2448335.74 bessellb 0.03688446978383939 -999.0 18.84 -999.0 25.0 vega
OBS: 2448347.7 bessellb 0.03934083240507779 -999.0 18.77 -999.0 25.0 vega
OBS: 2448347.74 bessellb 0.037225757580748205 -999.0 18.83 -999.0 25.0 vega
OBS: 2448353.69 bessellb 0.03395029441687779 -999.0 18.93 -999.0 25.0 vega
OBS: 2448355.69 bessellb 0.03621125233966709 -999.0 18.86 -999.0 25.0 vega
OBS: 2448414.61 bessellb 0.013147511060275598 -999.0 19.96 -999.0 25.0 vega
