SURVEY: VIRGO_PROJECT
SNID: SN1991T
RA: 188.54250000
DECL: 2.66566667
MWEBV: 0.0000
REDSHIFT_HELIO: 0.007000
FILTERS: bessellb besselli bessellr bessellux bessellv

# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 404
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 2448362.85 bessellux 5.202827898774373 -999.0 12.4 -999.0 25.0 vega
OBS: 2448362.85 bessellux 5.918878981089128 -999.0 12.26 -999.0 25.0 vega
OBS: 2448363.8 bessellux 7.248355081731153 -999.0 12.04 -999.0 25.0 vega
OBS: 2448364.46 bessellux 9.041478634330483 -999.0 11.8 -999.0 25.0 vega
OBS: 2448365.66 bessellux 10.770589163896464 -999.0 11.61 -999.0 25.0 vega
OBS: 2448366.57 bessellux 17.387592778798897 -999.0 11.09 -999.0 25.0 vega
OBS: 2448367.76 bessellux 17.387592778798897 -999.0 11.09 -999.0 25.0 vega
OBS: 2448368.02 bessellux 16.605022192512784 -999.0 11.14 -999.0 25.0 vega
OBS: 2448374.64 bessellux 14.596188399695304 -999.0 11.28 -999.0 25.0 vega
OBS: 2448374.64 bessellux 14.329777937332993 -999.0 11.3 -999.0 25.0 vega
OBS: 2448375.01 bessellux 16.452786433995026 -999.0 11.15 -999.0 25.0 vega
OBS: 2448375.65 bessellux 13.435055361728136 -999.0 11.37 -999.0 25.0 vega
OBS: 2448375.65 bessellux 14.731245268111493 -999.0 11.27 -999.0 25.0 vega
OBS: 2448376.69 bessellux 15.284085566050313 -999.0 11.23 -999.0 25.0 vega
OBS: 2448376.69 bessellux 14.596188399695304 -999.0 11.28 -999.0 25.0 vega
OBS: 2448377.62 bessellux 13.93925170588109 -999.0 11.33 -999.0 25.0 vega
OBS: 2448382.77 bessellux 9.209572272204348 -999.0 11.78 -999.0 25.0 vega
OBS: 2448383.58 bessellux 10.381006437693246 -999.0 11.65 -999.0 25.0 vega
OBS: 2448384.45 bessellux 8.795073240383733 -999.0 11.83 -999.0 25.0 vega
OBS: 2448388.48 bessellux 5.652485544498222 -999.0 12.31 -999.0 25.0 vega
OBS: 2448388.57 bessellux 5.2995556912192745 -999.0 12.38 -999.0 25.0 vega
OBS: 2448389.39 bessellux 5.014636533759269 -999.0 12.44 -999.0 25.0 vega
OBS: 2448390.5 bessellux 3.7691156239535593 -999.0 12.75 -999.0 25.0 vega
OBS: 2448390.5 bessellux 3.6663967592952122 -999.0 12.78 -999.0 25.0 vega
OBS: 2448392.42 bessellux 3.437474303831359 -999.0 12.85 -999.0 25.0 vega
OBS: 2448393.62 bessellux 2.444778177720934 -999.0 13.22 -999.0 25.0 vega
OBS: 2448394.49 bessellux 2.5365268297572485 -999.0 13.18 -999.0 25.0 vega
OBS: 2448398.39 bessellux 1.6301946381300616 -999.0 13.66 -999.0 25.0 vega
OBS: 2448398.46 bessellux 1.6452786433994993 -999.0 13.65 -999.0 25.0 vega
OBS: 2448399.42 bessellux 1.1487868625576627 -999.0 14.04 -999.0 25.0 vega
OBS: 2448414.62 bessellux 0.6795782337339255 -999.0 14.61 -999.0 25.0 vega
OBS: 2448420.47 bessellux 0.5398081787589146 -999.0 14.86 -999.0 25.0 vega
OBS: 2448431.49 bessellux 0.4448764949109732 -999.0 15.07 -999.0 25.0 vega
OBS: 2448431.49 bessellux 0.4615720049996522 -999.0 15.03 -999.0 25.0 vega
OBS: 2448442.48 bessellux 0.3700321510820892 -999.0 15.27 -999.0 25.0 vega
OBS: 2448776.53 bessellux 0.003437474303831359 -999.0 20.35 -999.0 25.0 vega
OBS: 2448361.4 bessellb 5.531508000036947 -999.0 13.4 -999.0 25.0 vega
OBS: 2448362.85 bessellb 7.9954616554526705 -999.0 13.0 -999.0 25.0 vega
OBS: 2448362.85 bessellb 8.144108385761003 -999.0 12.98 -999.0 25.0 vega
OBS: 2448363.65 bessellb 10.252825003240494 -999.0 12.73 -999.0 25.0 vega
OBS: 2448363.77 bessellb 10.443439251526689 -999.0 12.71 -999.0 25.0 vega
OBS: 2448363.8 bessellb 9.612659186697991 -999.0 12.8 -999.0 25.0 vega
OBS: 2448364.4 bessellb 11.346020001546837 -999.0 12.62 -999.0 25.0 vega
OBS: 2448364.46 bessellb 12.555775587198037 -999.0 12.51 -999.0 25.0 vega
OBS: 2448364.64 bessellb 13.147511060275596 -999.0 12.46 -999.0 25.0 vega
OBS: 2448364.76 bessellb 13.26916348230829 -999.0 12.45 -999.0 25.0 vega
OBS: 2448365.66 bessellb 14.41595921114359 -999.0 12.36 -999.0 25.0 vega
OBS: 2448366.57 bessellb 25.283869775770867 -999.0 11.75 -999.0 25.0 vega
OBS: 2448366.67 bessellb 17.49216417555951 -999.0 12.15 -999.0 25.0 vega
OBS: 2448366.67 bessellb 19.003935372844314 -999.0 12.06 -999.0 25.0 vega
OBS: 2448367.76 bessellb 25.052065864342538 -999.0 11.76 -999.0 25.0 vega
OBS: 2448368.02 bessellb 21.224796981126833 -999.0 11.94 -999.0 25.0 vega
OBS: 2448368.7 bessellb 24.594814130719453 -999.0 11.78 -999.0 25.0 vega
OBS: 2448372.7 bessellb 25.283869775770867 -999.0 11.75 -999.0 25.0 vega
OBS: 2448374.64 bessellb 25.992230209199775 -999.0 11.72 -999.0 25.0 vega
OBS: 2448374.64 bessellb 26.232733354204477 -999.0 11.71 -999.0 25.0 vega
OBS: 2448375.01 bessellb 27.469043988594514 -999.0 11.66 -999.0 25.0 vega
OBS: 2448375.65 bessellb 25.992230209199775 -999.0 11.72 -999.0 25.0 vega
OBS: 2448376.69 bessellb 25.517818542383775 -999.0 11.74 -999.0 25.0 vega
OBS: 2448376.69 bessellb 26.475461847411 -999.0 11.7 -999.0 25.0 vega
OBS: 2448377.62 bessellb 26.720436279712676 -999.0 11.69 -999.0 25.0 vega
OBS: 2448377.62 bessellb 26.232733354204477 -999.0 11.71 -999.0 25.0 vega
OBS: 2448380.7 bessellb 23.4878651494123 -999.0 11.83 -999.0 25.0 vega
OBS: 2448381.6 bessellb 23.27252710737127 -999.0 11.84 -999.0 25.0 vega
OBS: 2448381.6 bessellb 22.84775561653857 -999.0 11.86 -999.0 25.0 vega
OBS: 2448382.67 bessellb 21.819437221023936 -999.0 11.91 -999.0 25.0 vega
OBS: 2448382.68 bessellb 21.61939541817281 -999.0 11.92 -999.0 25.0 vega
OBS: 2448382.77 bessellb 20.269523756786256 -999.0 11.99 -999.0 25.0 vega
OBS: 2448383.58 bessellb 20.837400777238 -999.0 11.96 -999.0 25.0 vega
OBS: 2448383.58 bessellb 20.646362338620815 -999.0 11.97 -999.0 25.0 vega
OBS: 2448384.45 bessellb 19.717122961695093 -999.0 12.02 -999.0 25.0 vega
OBS: 2448385.63 bessellb 17.654017177910603 -999.0 12.14 -999.0 25.0 vega
OBS: 2448386.55 bessellb 15.9530433319034 -999.0 12.25 -999.0 25.0 vega
OBS: 2448386.55 bessellb 16.551735775625843 -999.0 12.21 -999.0 25.0 vega
OBS: 2448388.48 bessellb 14.549348439410418 -999.0 12.35 -999.0 25.0 vega
OBS: 2448388.57 bessellb 13.767134167029543 -999.0 12.41 -999.0 25.0 vega
OBS: 2448389.3 bessellb 8.929837272013794 -999.0 12.88 -999.0 25.0 vega
OBS: 2448389.39 bessellb 13.147511060275596 -999.0 12.46 -999.0 25.0 vega
OBS: 2448390.5 bessellb 11.556958262265367 -999.0 12.6 -999.0 25.0 vega
OBS: 2448392.42 bessellb 10.347693224959649 -999.0 12.72 -999.0 25.0 vega
OBS: 2448393.62 bessellb 8.219464892850612 -999.0 12.97 -999.0 25.0 vega
OBS: 2448394.49 bessellb 7.849528033735818 -999.0 13.02 -999.0 25.0 vega
OBS: 2448395.55 bessellb 7.093221876653817 -999.0 13.13 -999.0 25.0 vega
OBS: 2448395.56 bessellb 6.963755986789237 -999.0 13.15 -999.0 25.0 vega
OBS: 2448396.56 bessellb 5.138585000238634 -999.0 13.48 -999.0 25.0 vega
OBS: 2448396.56 bessellb 5.582690413393552 -999.0 13.39 -999.0 25.0 vega
OBS: 2448398.39 bessellb 5.28254912955355 -999.0 13.45 -999.0 25.0 vega
OBS: 2448398.46 bessellb 5.186131741841196 -999.0 13.47 -999.0 25.0 vega
OBS: 2448399.42 bessellb 4.157608051272621 -999.0 13.71 -999.0 25.0 vega
OBS: 2448405.59 bessellb 2.984307324547343 -999.0 14.07 -999.0 25.0 vega
OBS: 2448414.62 bessellb 2.414590818179262 -999.0 14.3 -999.0 25.0 vega
OBS: 2448414.62 bessellb 2.3924537164967794 -999.0 14.31 -999.0 25.0 vega
OBS: 2448420.47 bessellb 1.9003935372844312 -999.0 14.56 -999.0 25.0 vega
OBS: 2448423.2 bessellb 2.2638286133969543 -999.0 14.37 -999.0 25.0 vega
OBS: 2448427.67 bessellb 1.566186747600484 -999.0 14.77 -999.0 25.0 vega
OBS: 2448431.49 bessellb 1.566186747600484 -999.0 14.77 -999.0 25.0 vega
OBS: 2448431.49 bessellb 1.5953043331903398 -999.0 14.75 -999.0 25.0 vega
OBS: 2448438.5 bessellb 1.441595921114359 -999.0 14.86 -999.0 25.0 vega
OBS: 2448439.47 bessellb 1.364091632231757 -999.0 14.92 -999.0 25.0 vega
OBS: 2448439.47 bessellb 1.3515855649761401 -999.0 14.93 -999.0 25.0 vega
OBS: 2448439.83 bessellb 1.3767134167029544 -999.0 14.91 -999.0 25.0 vega
OBS: 2448440.46 bessellb 1.364091632231757 -999.0 14.92 -999.0 25.0 vega
OBS: 2448440.46 bessellb 1.3894519891079482 -999.0 14.9 -999.0 25.0 vega
OBS: 2448440.87 bessellb 1.364091632231757 -999.0 14.92 -999.0 25.0 vega
OBS: 2448442.48 bessellb 1.4023084300721882 -999.0 14.89 -999.0 25.0 vega
OBS: 2448445.47 bessellb 1.3515855649761401 -999.0 14.93 -999.0 25.0 vega
OBS: 2448459.49 bessellb 1.1346020001546837 -999.0 15.12 -999.0 25.0 vega
OBS: 2448469.51 bessellb 0.8606836339006013 -999.0 15.42 -999.0 25.0 vega
OBS: 2448575.7 bessellb 0.19179776621857933 -999.0 17.05 -999.0 25.0 vega
OBS: 2448593.46 bessellb 0.21030206872764018 -999.0 16.95 -999.0 25.0 vega
OBS: 2448593.46 bessellb 0.2045707535093643 -999.0 16.98 -999.0 25.0 vega
OBS: 2448594.46 bessellb 0.19003935372844352 -999.0 17.06 -999.0 25.0 vega
OBS: 2448597.8 bessellb 0.1670488710112911 -999.0 17.2 -999.0 25.0 vega
OBS: 2448603.46 bessellb 0.1935724490991626 -999.0 17.04 -999.0 25.0 vega
OBS: 2448628.83 bessellb 0.12671952748310808 -999.0 17.5 -999.0 25.0 vega
OBS: 2448629.83 bessellb 0.1255577558719801 -999.0 17.51 -999.0 25.0 vega
OBS: 2448653.9 bessellb 0.10935623380108928 -999.0 17.66 -999.0 25.0 vega
OBS: 2448657.82 bessellb 0.10158826538605985 -999.0 17.74 -999.0 25.0 vega
OBS: 2448658.66 bessellb 0.10065689857075219 -999.0 17.75 -999.0 25.0 vega
OBS: 2448681.78 bessellb 0.07849528033735818 -999.0 18.02 -999.0 25.0 vega
OBS: 2448686.46 bessellb 0.06351020942581394 -999.0 18.25 -999.0 25.0 vega
OBS: 2448688.46 bessellb 0.06351020942581394 -999.0 18.25 -999.0 25.0 vega
OBS: 2448691.78 bessellb 0.0528254912955355 -999.0 18.45 -999.0 25.0 vega
OBS: 2448692.67 bessellb 0.05430546600834849 -999.0 18.42 -999.0 25.0 vega
OBS: 2448720.77 bessellb 0.037225757580748205 -999.0 18.83 -999.0 25.0 vega
OBS: 2448731.63 bessellb 0.03426443262338695 -999.0 18.92 -999.0 25.0 vega
OBS: 2448742.8 bessellb 0.031830506169212416 -999.0 19.0 -999.0 25.0 vega
OBS: 2448746.69 bessellb 0.032125030216559367 -999.0 18.99 -999.0 25.0 vega
OBS: 2448776.53 bessellb 0.017492164175559544 -999.0 19.65 -999.0 25.0 vega
