SURVEY: VIRGO_PROJECT
SNID: SN1991bg
RA: 186.26541667
DECL: 12.87100000
MWEBV: 0.0000
REDSHIFT_HELIO: 0.004200
FILTERS: bessellb besselli bessellr bessellv

# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 157
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 2448604.0 bessellb 1.580678495150846 -999.0 14.76 -999.0 25.0 vega
OBS: 2448605.0 bessellb 1.5095362437525766 -999.0 14.81 -999.0 25.0 vega
OBS: 2448605.85 bessellb 1.4283792902672197 -999.0 14.87 -999.0 25.0 vega
OBS: 2448606.0 bessellb 1.441595921114359 -999.0 14.86 -999.0 25.0 vega
OBS: 2448607.0 bessellb 1.3147511060275596 -999.0 14.96 -999.0 25.0 vega
OBS: 2448607.85 bessellb 1.232660685575221 -999.0 15.03 -999.0 25.0 vega
OBS: 2448608.84 bessellb 1.0347693224959649 -999.0 15.22 -999.0 25.0 vega
OBS: 2448609.84 bessellb 0.9264959918345135 -999.0 15.34 -999.0 25.0 vega
OBS: 2448610.83 bessellb 0.7359419256730305 -999.0 15.59 -999.0 25.0 vega
OBS: 2448617.84 bessellb 0.3363903624675705 -999.0 16.44 -999.0 25.0 vega
OBS: 2448617.86 bessellb 0.2849991369352177 -999.0 16.62 -999.0 25.0 vega
OBS: 2448620.86 bessellb 0.24594814130719403 -999.0 16.78 -999.0 25.0 vega
OBS: 2448622.84 bessellb 0.23705195689824315 -999.0 16.82 -999.0 25.0 vega
OBS: 2448623.84 bessellb 0.23924537164967796 -999.0 16.81 -999.0 25.0 vega
OBS: 2448623.85 bessellb 0.22430737079160035 -999.0 16.88 -999.0 25.0 vega
OBS: 2448624.84 bessellb 0.20269523756786298 -999.0 16.99 -999.0 25.0 vega
OBS: 2448625.84 bessellb 0.21224796981126787 -999.0 16.94 -999.0 25.0 vega
OBS: 2448626.84 bessellb 0.18316544475421567 -999.0 17.1 -999.0 25.0 vega
OBS: 2448626.85 bessellb 0.1882970624609181 -999.0 17.07 -999.0 25.0 vega
OBS: 2448627.84 bessellb 0.19179776621857933 -999.0 17.05 -999.0 25.0 vega
OBS: 2448628.84 bessellb 0.1935724490991626 -999.0 17.04 -999.0 25.0 vega
OBS: 2448628.84 bessellb 0.1882970624609181 -999.0 17.07 -999.0 25.0 vega
OBS: 2448628.85 bessellb 0.20083691645986665 -999.0 17.0 -999.0 25.0 vega
OBS: 2448631.85 bessellb 0.1717289619832337 -999.0 17.17 -999.0 25.0 vega
OBS: 2448632.85 bessellb 0.1670488710112911 -999.0 17.2 -999.0 25.0 vega
OBS: 2448636.67 bessellb 0.13894519891079513 -999.0 17.4 -999.0 25.0 vega
OBS: 2448637.67 bessellb 0.14152838302200219 -999.0 17.38 -999.0 25.0 vega
OBS: 2448638.7 bessellb 0.14683971903010284 -999.0 17.34 -999.0 25.0 vega
OBS: 2448639.6 bessellb 0.13026973954352083 -999.0 17.47 -999.0 25.0 vega
OBS: 2448641.84 bessellb 0.14152838302200219 -999.0 17.38 -999.0 25.0 vega
OBS: 2448656.82 bessellb 0.10252825003240494 -999.0 17.73 -999.0 25.0 vega
OBS: 2448656.86 bessellb 0.10065689857075219 -999.0 17.75 -999.0 25.0 vega
OBS: 2448657.61 bessellb 0.10065689857075219 -999.0 17.75 -999.0 25.0 vega
OBS: 2448657.81 bessellb 0.09180018255247438 -999.0 17.85 -999.0 25.0 vega
OBS: 2448657.88 bessellb 0.0952452979754733 -999.0 17.81 -999.0 25.0 vega
OBS: 2448658.53 bessellb 0.08766849373302749 -999.0 17.9 -999.0 25.0 vega
OBS: 2448658.79 bessellb 0.09437208383492929 -999.0 17.82 -999.0 25.0 vega
OBS: 2448660.83 bessellb 0.09012464038975078 -999.0 17.87 -999.0 25.0 vega
OBS: 2448662.83 bessellb 0.08929837272013812 -999.0 17.88 -999.0 25.0 vega
OBS: 2448673.79 bessellb 0.06351020942581394 -999.0 18.25 -999.0 25.0 vega
OBS: 2448676.87 bessellb 0.06963755986789252 -999.0 18.15 -999.0 25.0 vega
OBS: 2448677.67 bessellb 0.06963755986789252 -999.0 18.15 -999.0 25.0 vega
OBS: 2448678.8 bessellb 0.06292794432592613 -999.0 18.26 -999.0 25.0 vega
OBS: 2448682.75 bessellb 0.05792199940610618 -999.0 18.35 -999.0 25.0 vega
OBS: 2448687.55 bessellb 0.048177420655829535 -999.0 18.55 -999.0 25.0 vega
OBS: 2448688.54 bessellb 0.048177420655829535 -999.0 18.55 -999.0 25.0 vega
OBS: 2448688.91 bessellb 0.045587265763297954 -999.0 18.61 -999.0 25.0 vega
OBS: 2448692.74 bessellb 0.04907310577868849 -999.0 18.53 -999.0 25.0 vega
OBS: 2448720.69 bessellb 0.035550322498645835 -999.0 18.88 -999.0 25.0 vega
OBS: 2448720.75 bessellb 0.02797973164486208 -999.0 19.14 -999.0 25.0 vega
OBS: 2448742.79 bessellb 0.017015454139626414 -999.0 19.68 -999.0 25.0 vega
OBS: 2448746.6 bessellb 0.01551827861190264 -999.0 19.78 -999.0 25.0 vega
OBS: 2448776.79 bessellb 0.013147511060275598 -999.0 19.96 -999.0 25.0 vega
OBS: 2448806.52 bessellb 0.004907310577868849 -999.0 21.03 -999.0 25.0 vega
OBS: 2448594.28 bessellv 0.9391604343870904 -999.0 14.9 -999.0 25.0 vega
OBS: 2448600.36 bessellv 1.357499842974122 -999.0 14.5 -999.0 25.0 vega
OBS: 2448601.3 bessellv 1.4884689790889225 -999.0 14.4 -999.0 25.0 vega
OBS: 2448601.3 bessellv 1.63207378120651 -999.0 14.3 -999.0 25.0 vega
OBS: 2448604.0 bessellv 2.11222310057702 -999.0 14.02 -999.0 25.0 vega
OBS: 2448605.0 bessellv 2.2322343560553572 -999.0 13.96 -999.0 25.0 vega
OBS: 2448605.85 bessellv 1.9441948483732758 -999.0 14.11 -999.0 25.0 vega
OBS: 2448606.0 bessellv 2.211769108466782 -999.0 13.97 -999.0 25.0 vega
OBS: 2448607.0 bessellv 2.1317672602952022 -999.0 14.01 -999.0 25.0 vega
OBS: 2448607.85 bessellv 2.1317672602952022 -999.0 14.01 -999.0 25.0 vega
OBS: 2448608.84 bessellv 2.035821928705145 -999.0 14.06 -999.0 25.0 vega
OBS: 2448609.84 bessellv 1.8738714224423676 -999.0 14.15 -999.0 25.0 vega
OBS: 2448610.83 bessellv 1.7248041483075816 -999.0 14.24 -999.0 25.0 vega
OBS: 2448617.84 bessellv 0.8179745434784932 -999.0 15.05 -999.0 25.0 vega
OBS: 2448617.86 bessellv 0.7739979100905697 -999.0 15.11 -999.0 25.0 vega
OBS: 2448620.86 bessellv 0.6148083936025259 -999.0 15.36 -999.0 25.0 vega
OBS: 2448621.92 bessellv 0.5711363319669154 -999.0 15.44 -999.0 25.0 vega
OBS: 2448622.84 bessellv 0.5066870305977571 -999.0 15.57 -999.0 25.0 vega
OBS: 2448623.84 bessellv 0.48388235765407495 -999.0 15.62 -999.0 25.0 vega
OBS: 2448623.85 bessellv 0.4621040640662139 -999.0 15.67 -999.0 25.0 vega
OBS: 2448623.85 bessellv 0.5354757256271865 -999.0 15.51 -999.0 25.0 vega
OBS: 2448624.84 bessellv 0.4794460975336844 -999.0 15.63 -999.0 25.0 vega
OBS: 2448625.84 bessellv 0.48388235765407495 -999.0 15.62 -999.0 25.0 vega
OBS: 2448626.84 bessellv 0.4099583986235171 -999.0 15.8 -999.0 25.0 vega
OBS: 2448626.85 bessellv 0.4453893088816076 -999.0 15.71 -999.0 25.0 vega
OBS: 2448627.84 bessellv 0.4332512137145255 -999.0 15.74 -999.0 25.0 vega
OBS: 2448628.84 bessellv 0.4024758145724047 -999.0 15.82 -999.0 25.0 vega
OBS: 2448628.84 bessellv 0.42534348787514703 -999.0 15.76 -999.0 25.0 vega
OBS: 2448628.85 bessellv 0.42144391533880565 -999.0 15.77 -999.0 25.0 vega
OBS: 2448631.85 bessellv 0.3347648013063626 -999.0 16.02 -999.0 25.0 vega
OBS: 2448631.85 bessellv 0.3808375722993775 -999.0 15.88 -999.0 25.0 vega
OBS: 2448632.85 bessellv 0.3603626633540029 -999.0 15.94 -999.0 25.0 vega
OBS: 2448636.67 bessellv 0.2942657981907098 -999.0 16.16 -999.0 25.0 vega
OBS: 2448637.67 bessellv 0.25394507118010706 -999.0 16.32 -999.0 25.0 vega
OBS: 2448638.7 bessellv 0.26347522740628887 -999.0 16.28 -999.0 25.0 vega
OBS: 2448641.84 bessellv 0.24475963000964224 -999.0 16.36 -999.0 25.0 vega
OBS: 2448656.82 bessellv 0.16624162982058702 -999.0 16.78 -999.0 25.0 vega
OBS: 2448656.86 bessellv 0.13450542096056747 -999.0 17.01 -999.0 25.0 vega
OBS: 2448657.61 bessellv 0.13827376493382568 -999.0 16.98 -999.0 25.0 vega
OBS: 2448657.81 bessellv 0.13827376493382568 -999.0 16.98 -999.0 25.0 vega
OBS: 2448657.88 bessellv 0.1320504203530742 -999.0 17.03 -999.0 25.0 vega
OBS: 2448658.53 bessellv 0.12380545712163446 -999.0 17.1 -999.0 25.0 vega
OBS: 2448658.79 bessellv 0.14214768395528182 -999.0 16.95 -999.0 25.0 vega
OBS: 2448660.83 bessellv 0.13450542096056747 -999.0 17.01 -999.0 25.0 vega
OBS: 2448662.83 bessellv 0.12845167979703456 -999.0 17.06 -999.0 25.0 vega
OBS: 2448673.79 bessellv 0.0833181825634691 -999.0 17.53 -999.0 25.0 vega
OBS: 2448676.87 bessellv 0.0922018824625281 -999.0 17.42 -999.0 25.0 vega
OBS: 2448677.67 bessellv 0.0680361590949657 -999.0 17.75 -999.0 25.0 vega
OBS: 2448678.8 bessellv 0.07956824662889354 -999.0 17.58 -999.0 25.0 vega
OBS: 2448682.75 bessellv 0.057642099138086 -999.0 17.93 -999.0 25.0 vega
OBS: 2448687.55 bessellv 0.05404304215132452 -999.0 18.0 -999.0 25.0 vega
OBS: 2448687.91 bessellv 0.0560711919092497 -999.0 17.96 -999.0 25.0 vega
OBS: 2448688.54 bessellv 0.05354757256271864 -999.0 18.01 -999.0 25.0 vega
OBS: 2448688.91 bessellv 0.05817545491463161 -999.0 17.92 -999.0 25.0 vega
OBS: 2448692.74 bessellv 0.05404304215132452 -999.0 18.0 -999.0 25.0 vega
OBS: 2448720.69 bessellv 0.03441436717820118 -999.0 18.49 -999.0 25.0 vega
OBS: 2448720.75 bessellv 0.020546591570838674 -999.0 19.05 -999.0 25.0 vega
OBS: 2448742.79 bessellv 0.01382737649338257 -999.0 19.48 -999.0 25.0 vega
OBS: 2448746.6 bessellv 0.009391604343870924 -999.0 19.9 -999.0 25.0 vega
OBS: 2448762.48 bessellv 0.010882778451645748 -999.0 19.74 -999.0 25.0 vega
OBS: 2448776.79 bessellv 0.00833181825634691 -999.0 20.03 -999.0 25.0 vega
OBS: 2448806.52 bessellv 0.002862462382425253 -999.0 21.19 -999.0 25.0 vega
