SURVEY: VIRGO_PROJECT
SNID: SN2004W
RA: 190.90220000
DECL: 11.53080000
MWEBV: 0.0199
REDSHIFT_HELIO: 0.004000
FILTERS: B J U UVM2 UVW1 UVW2 V g gp i ip r rp u up zp
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 370
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 59047.3 g -5.5580000000e+00 1.2817800000e+02 -999.0000 -25.0390 25.0 ab
OBS: 59047.3 i -2.5758200000e+02 1.9041800000e+02 -999.0000 -0.8030 25.0 ab
OBS: 59298.4 r 3.0074630000e+03 3.0074630000e+03 18.8050 1.0860 25.0 ab
OBS: 59299.3 r 5.2588970000e+03 5.2588970000e+03 18.1980 1.0860 25.0 ab
OBS: 59301.3 r 9.9685220000e+03 9.9685220000e+03 17.5030 1.0860 25.0 ab
OBS: 59303.3 r 4.0797500000e+03 4.0797500000e+03 18.4730 1.0860 25.0 ab
OBS: 59307.3 r 9.4750600000e+02 9.4750600000e+02 20.0580 1.0860 25.0 ab
OBS: 59310.3 r 7.2562040000e+03 7.2562040000e+03 17.8480 1.0860 25.0 ab
OBS: 59339.2 r 9.3030300000e+02 9.3030300000e+02 20.0780 1.0860 25.0 ab
OBS: 59543.6 r 1.4129500400e+05 1.4129500400e+05 14.6250 1.0860 25.0 ab
OBS: 59549.6 r 3.1604580000e+03 3.1604580000e+03 18.7510 1.0860 25.0 ab
OBS: 59552.6 r 1.0176710000e+03 1.0176710000e+03 19.9810 1.0860 25.0 ab
OBS: 59565.5 r 5.5192950000e+03 5.5192950000e+03 18.1450 1.0860 25.0 ab
OBS: 59568.5 r 3.0544150000e+03 3.0544150000e+03 18.7880 1.0860 25.0 ab
OBS: 59571.3 i 6.9480000000e+00 2.7892000000e+01 25.3950 4.3580 25.0 ab
OBS: 59572.4 i 3.5749000000e+01 2.7605000000e+01 23.6170 0.8380 25.0 ab
OBS: 59579.3 g -1.7549000000e+01 1.0173000000e+01 -999.0000 -0.6290 25.0 ab
OBS: 59579.3 r -9.2300000000e-01 8.8810000000e+00 -999.0000 -10.4490 25.0 ab
OBS: 59582.3 g -1.2751000000e+01 9.1000000000e+00 -999.0000 -0.7750 25.0 ab
OBS: 59582.3 i -1.4558000000e+01 1.8012000000e+01 -999.0000 -1.3430 25.0 ab
OBS: 59583.6 r 2.7302460000e+03 2.7302460000e+03 18.9100 1.0860 25.0 ab
OBS: 59585.3 g -1.6857000000e+01 9.4010000000e+00 -999.0000 -0.6050 25.0 ab
