SURVEY: VIRGO_PROJECT
SNID: SN2006X
RA: 185.72470000
DECL: 15.80890000
MWEBV: 0.0195
REDSHIFT_HELIO: 0.004700
FILTERS: B H I I1 I2 J K Ks R U UVM2 UVW1 UVW2 V Y g i r u
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 716
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 53774.4 UVW2 -9.9900000000e+02 -9.9900000000e+02 20.1690 -999.0000 25.0 vega
OBS: 53774.4 V -9.9900000000e+02 -9.9900000000e+02 15.7520 0.0740 25.0 vega
OBS: 53774.4 UVM2 -9.9900000000e+02 -9.9900000000e+02 19.7560 -999.0000 25.0 vega
OBS: 53774.4 UVW1 -9.9900000000e+02 -9.9900000000e+02 19.6080 -999.0000 25.0 vega
OBS: 53774.4 U -9.9900000000e+02 -9.9900000000e+02 18.8860 0.2870 25.0 vega
OBS: 53774.4 B -9.9900000000e+02 -9.9900000000e+02 17.2540 0.0980 25.0 vega
OBS: 53774.5 R -9.9900000000e+02 -9.9900000000e+02 14.9260 0.0110 25.0 ab
OBS: 53774.5 I -9.9900000000e+02 -9.9900000000e+02 14.7720 0.0210 25.0 ab
OBS: 53774.5 B -9.9900000000e+02 -9.9900000000e+02 17.0720 0.0280 25.0 ab
OBS: 53774.5 V -9.9900000000e+02 -9.9900000000e+02 15.7720 0.0230 25.0 ab
OBS: 53775.2 r -9.9900000000e+02 -9.9900000000e+02 14.7960 0.0040 25.0 csp
OBS: 53775.2 g -9.9900000000e+02 -9.9900000000e+02 16.1420 0.0040 25.0 csp
OBS: 53775.2 u -9.9900000000e+02 -9.9900000000e+02 18.5090 0.0410 25.0 csp
OBS: 53775.2 B -9.9900000000e+02 -9.9900000000e+02 16.6900 0.0070 25.0 csp
OBS: 53775.2 V -9.9900000000e+02 -9.9900000000e+02 15.4870 0.0050 25.0 csp
OBS: 53775.2 i -9.9900000000e+02 -9.9900000000e+02 14.9240 0.0050 25.0 csp
OBS: 53775.4 B -9.9900000000e+02 -9.9900000000e+02 16.7160 0.0260 25.0 ab
OBS: 53775.4 V -9.9900000000e+02 -9.9900000000e+02 15.5060 0.0310 25.0 ab
OBS: 53775.4 I -9.9900000000e+02 -9.9900000000e+02 14.5150 0.0120 25.0 ab
OBS: 53775.4 R -9.9900000000e+02 -9.9900000000e+02 14.6720 0.0140 25.0 ab
OBS: 53775.9 V -9.9900000000e+02 -9.9900000000e+02 15.1440 0.0160 25.0 ab
OBS: 53775.9 U -9.9900000000e+02 -9.9900000000e+02 17.6010 0.0540 25.0 ab
OBS: 53775.9 B -9.9900000000e+02 -9.9900000000e+02 16.3830 0.0210 25.0 ab
OBS: 53776.3 J -9.9900000000e+02 -9.9900000000e+02 13.3060 0.0090 25.0 csp
OBS: 53776.3 H -9.9900000000e+02 -9.9900000000e+02 13.2860 0.0070 25.0 csp
OBS: 53776.3 Y -9.9900000000e+02 -9.9900000000e+02 13.5100 0.0080 25.0 csp
OBS: 53776.4 UVW2 -9.9900000000e+02 -9.9900000000e+02 20.3650 -999.0000 25.0 vega
OBS: 53776.4 UVW1 -9.9900000000e+02 -9.9900000000e+02 19.0030 0.2650 25.0 vega
OBS: 53776.5 I -9.9900000000e+02 -9.9900000000e+02 14.2600 0.0250 25.0 ab
OBS: 53776.5 B -9.9900000000e+02 -9.9900000000e+02 16.3810 0.0320 25.0 ab
OBS: 53776.5 V -9.9900000000e+02 -9.9900000000e+02 15.2330 0.0100 25.0 ab
OBS: 53776.5 R -9.9900000000e+02 -9.9900000000e+02 14.4080 0.0200 25.0 ab
OBS: 53776.9 V -9.9900000000e+02 -9.9900000000e+02 14.9330 0.0170 25.0 ab
OBS: 53776.9 B -9.9900000000e+02 -9.9900000000e+02 16.1750 0.0660 25.0 ab
OBS: 53776.9 V -9.9900000000e+02 -9.9900000000e+02 14.9530 0.0200 25.0 ab
OBS: 53777.3 H -9.9900000000e+02 -9.9900000000e+02 13.1770 0.0090 25.0 csp
OBS: 53777.3 Y -9.9900000000e+02 -9.9900000000e+02 13.3550 0.0070 25.0 csp
OBS: 53777.3 J -9.9900000000e+02 -9.9900000000e+02 13.1430 0.0080 25.0 csp
OBS: 53777.9 V -9.9900000000e+02 -9.9900000000e+02 14.7690 0.0240 25.0 ab
OBS: 53777.9 B -9.9900000000e+02 -9.9900000000e+02 15.9420 0.0300 25.0 ab
OBS: 53777.9 V -9.9900000000e+02 -9.9900000000e+02 14.7620 0.0210 25.0 ab
OBS: 53777.9 B -9.9900000000e+02 -9.9900000000e+02 15.9290 0.0190 25.0 ab
OBS: 53778.3 B -9.9900000000e+02 -9.9900000000e+02 16.0450 0.0430 25.0 ab
OBS: 53778.3 R -9.9900000000e+02 -9.9900000000e+02 14.1350 0.0170 25.0 ab
OBS: 53778.3 I -9.9900000000e+02 -9.9900000000e+02 13.8640 0.0260 25.0 ab
OBS: 53778.3 V -9.9900000000e+02 -9.9900000000e+02 14.9340 0.0430 25.0 ab
OBS: 53778.4 u -9.9900000000e+02 -9.9900000000e+02 17.7770 0.0320 25.0 csp
OBS: 53778.4 g -9.9900000000e+02 -9.9900000000e+02 15.3990 0.0060 25.0 csp
OBS: 53778.4 r -9.9900000000e+02 -9.9900000000e+02 14.1940 0.0090 25.0 csp
OBS: 53778.4 i -9.9900000000e+02 -9.9900000000e+02 14.1740 0.0060 25.0 csp
OBS: 53778.4 B -9.9900000000e+02 -9.9900000000e+02 15.8950 0.0070 25.0 csp
OBS: 53778.4 V -9.9900000000e+02 -9.9900000000e+02 14.7960 0.0060 25.0 csp
OBS: 53778.4 UVW2 -9.9900000000e+02 -9.9900000000e+02 19.8160 0.3180 25.0 vega
OBS: 53778.4 V -9.9900000000e+02 -9.9900000000e+02 14.7020 0.0600 25.0 vega
OBS: 53778.4 UVM2 -9.9900000000e+02 -9.9900000000e+02 19.5870 -999.0000 25.0 vega
OBS: 53778.9 V -9.9900000000e+02 -9.9900000000e+02 14.6220 0.0210 25.0 ab
OBS: 53778.9 V -9.9900000000e+02 -9.9900000000e+02 14.6150 0.0260 25.0 ab
OBS: 53779.3 J -9.9900000000e+02 -9.9900000000e+02 13.2500 0.0400 25.0 ab
OBS: 53779.3 Ks -9.9900000000e+02 -9.9900000000e+02 13.1800 0.0400 25.0 ab
OBS: 53779.3 Y -9.9900000000e+02 -9.9900000000e+02 13.1750 0.0100 25.0 csp
OBS: 53779.3 H -9.9900000000e+02 -9.9900000000e+02 13.0380 0.0090 25.0 csp
OBS: 53779.3 J -9.9900000000e+02 -9.9900000000e+02 12.9250 0.0120 25.0 csp
OBS: 53780.4 V -9.9900000000e+02 -9.9900000000e+02 14.5140 0.0060 25.0 csp
OBS: 53780.4 B -9.9900000000e+02 -9.9900000000e+02 15.5980 0.0090 25.0 csp
OBS: 53780.4 UVW2 -9.9900000000e+02 -9.9900000000e+02 19.9770 0.3680 25.0 vega
OBS: 53780.4 V -9.9900000000e+02 -9.9900000000e+02 14.4210 0.0540 25.0 vega
OBS: 53780.4 UVM2 -9.9900000000e+02 -9.9900000000e+02 19.9400 -999.0000 25.0 vega
OBS: 53780.4 UVW1 -9.9900000000e+02 -9.9900000000e+02 18.4150 0.1670 25.0 vega
OBS: 53780.4 U -9.9900000000e+02 -9.9900000000e+02 17.1490 0.0980 25.0 vega
OBS: 53780.4 B -9.9900000000e+02 -9.9900000000e+02 15.7320 0.0630 25.0 vega
OBS: 53780.9 V -9.9900000000e+02 -9.9900000000e+02 14.4070 0.0270 25.0 ab
OBS: 53782.3 Ks -9.9900000000e+02 -9.9900000000e+02 12.8100 0.0300 25.0 ab
OBS: 53782.3 J -9.9900000000e+02 -9.9900000000e+02 12.9200 0.0100 25.0 ab
OBS: 53782.3 H -9.9900000000e+02 -9.9900000000e+02 13.0400 0.1800 25.0 ab
OBS: 53782.3 J -9.9900000000e+02 -9.9900000000e+02 12.8500 0.0100 25.0 csp
OBS: 53782.3 H -9.9900000000e+02 -9.9900000000e+02 12.9830 0.0070 25.0 csp
OBS: 53782.3 Y -9.9900000000e+02 -9.9900000000e+02 13.1450 0.0120 25.0 csp
OBS: 53783.2 i -9.9900000000e+02 -9.9900000000e+02 13.8350 0.0060 25.0 csp
OBS: 53783.2 V -9.9900000000e+02 -9.9900000000e+02 14.2630 0.0060 25.0 csp
OBS: 53783.2 r -9.9900000000e+02 -9.9900000000e+02 13.7730 0.0050 25.0 csp
OBS: 53783.2 g -9.9900000000e+02 -9.9900000000e+02 14.8920 0.0050 25.0 csp
OBS: 53783.2 B -9.9900000000e+02 -9.9900000000e+02 15.3960 0.0070 25.0 csp
OBS: 53783.2 u -9.9900000000e+02 -9.9900000000e+02 17.4170 0.0300 25.0 csp
OBS: 53783.3 Ks -9.9900000000e+02 -9.9900000000e+02 12.8700 0.0400 25.0 ab
OBS: 53783.3 H -9.9900000000e+02 -9.9900000000e+02 12.9700 0.0300 25.0 ab
OBS: 53783.3 J -9.9900000000e+02 -9.9900000000e+02 12.9600 0.0300 25.0 ab
OBS: 53783.7 UVW2 -9.9900000000e+02 -9.9900000000e+02 19.3960 0.2430 25.0 vega
OBS: 53783.7 V -9.9900000000e+02 -9.9900000000e+02 14.1140 0.0500 25.0 vega
OBS: 53783.7 UVM2 -9.9900000000e+02 -9.9900000000e+02 19.9630 -999.0000 25.0 vega
OBS: 53783.7 UVW1 -9.9900000000e+02 -9.9900000000e+02 18.2380 0.1490 25.0 vega
OBS: 53783.9 U -9.9900000000e+02 -9.9900000000e+02 17.0030 0.0950 25.0 vega
OBS: 53784.0 B -9.9900000000e+02 -9.9900000000e+02 15.4490 0.0590 25.0 vega
OBS: 53784.3 Y -9.9900000000e+02 -9.9900000000e+02 13.2680 0.0110 25.0 csp
OBS: 53784.3 J -9.9900000000e+02 -9.9900000000e+02 12.8980 0.0120 25.0 csp
OBS: 53784.3 B -9.9900000000e+02 -9.9900000000e+02 15.3660 0.0070 25.0 csp
OBS: 53784.3 H -9.9900000000e+02 -9.9900000000e+02 13.0530 0.0160 25.0 csp
OBS: 53784.3 K -9.9900000000e+02 -9.9900000000e+02 12.7910 0.0090 25.0 csp
OBS: 53784.3 r -9.9900000000e+02 -9.9900000000e+02 13.7370 0.0060 25.0 csp
OBS: 53784.3 g -9.9900000000e+02 -9.9900000000e+02 14.8510 0.0050 25.0 csp
OBS: 53784.3 i -9.9900000000e+02 -9.9900000000e+02 13.8200 0.0080 25.0 csp
OBS: 53784.3 u -9.9900000000e+02 -9.9900000000e+02 17.4330 0.0240 25.0 csp
OBS: 53784.3 V -9.9900000000e+02 -9.9900000000e+02 14.2070 0.0060 25.0 csp
