SURVEY: VIRGO_PROJECT
SNID: SN2009ik
RA: 190.96340000
DECL: -0.58180000
MWEBV: 0.0345
REDSHIFT_HELIO: 0.005000
FILTERS: B J U UVM2 UVW1 UVW2 V WHITE g i
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 38
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 57886.2 V 2.2268819000e+04 2.2268819000e+04 16.6310 1.0860 25.0 ab
OBS: 57886.2 V 1.4629231000e+04 1.4629231000e+04 17.0870 1.0860 25.0 ab
OBS: 57886.2 V 1.5974023000e+04 1.5974023000e+04 16.9910 1.0860 25.0 ab
OBS: 57886.3 V 1.9224014000e+04 1.9224014000e+04 16.7900 1.0860 25.0 ab
OBS: 57886.3 V 2.1399929000e+04 2.1399929000e+04 16.6740 1.0860 25.0 ab
OBS: 57886.3 V 2.6103635000e+04 2.6103635000e+04 16.4580 1.0860 25.0 ab
OBS: 57886.4 V 3.3063909000e+04 3.3063909000e+04 16.2020 1.0860 25.0 ab
OBS: 57886.4 V 9.9870539000e+04 9.9870539000e+04 15.0010 1.0860 25.0 ab
OBS: 57887.2 V 7.1510830000e+03 7.1510830000e+03 17.8640 1.0860 25.0 ab
OBS: 57887.3 V 1.2642598000e+04 1.2642598000e+04 17.2450 1.0860 25.0 ab
OBS: 57887.3 V 1.0389921000e+04 1.0389921000e+04 17.4580 1.0860 25.0 ab
OBS: 57887.3 V 9.0633550000e+03 9.0633550000e+03 17.6070 1.0860 25.0 ab
OBS: 57887.4 V 6.9323350000e+03 6.9323350000e+03 17.8980 1.0860 25.0 ab
OBS: 59047.3 g 4.2686000000e+01 1.7860600000e+02 23.4240 4.5430 25.0 ab
OBS: 59047.3 i -1.1881000000e+01 1.6630100000e+02 -999.0000 -15.1970 25.0 ab
OBS: 59337.7 U 8.7902300000e+02 8.7740400000e+02 20.1400 1.0800 25.0 ab
OBS: 59337.7 B 1.6595870000e+03 1.6565310000e+03 19.4500 1.0800 25.0 ab
OBS: 59337.7 V 5.2480750000e+03 5.2384100000e+03 18.2000 1.0800 25.0 ab
OBS: 59337.7 WHITE 3.6643800000e+02 3.6576300000e+02 21.0900 1.0800 25.0 ab
OBS: 60481.1 J 5.4390730000e+03 5.4390730000e+03 18.1610 1.0860 25.0 ab
OBS: 60828.7 UVW1 2.9376500000e+02 2.9322400000e+02 21.3300 1.0800 25.0 ab
OBS: 60828.7 U 4.8305900000e+02 4.8216900000e+02 20.7900 1.0800 25.0 ab
OBS: 60828.7 B 9.3756200000e+02 9.3583500000e+02 20.0700 1.0800 25.0 ab
OBS: 60828.7 UVW2 1.3677300000e+02 1.3652100000e+02 22.1600 1.0800 25.0 ab
OBS: 60828.7 V 2.0137240000e+03 2.0100160000e+03 19.2400 1.0800 25.0 ab
OBS: 60828.7 UVM2 2.5118900000e+02 2.5072600000e+02 21.5000 1.0800 25.0 ab
OBS: 60833.7 UVW1 4.3651600000e+02 4.3571200000e+02 20.9000 1.0800 25.0 ab
OBS: 60833.7 U 7.6559700000e+02 7.6418700000e+02 20.2900 1.0800 25.0 ab
OBS: 60833.7 B 1.4190580000e+03 1.4164440000e+03 19.6200 1.0800 25.0 ab
OBS: 60833.7 UVW2 1.8197000000e+02 1.8163500000e+02 21.8500 1.0800 25.0 ab
OBS: 60833.7 V 2.9107170000e+03 2.9053570000e+03 18.8400 1.0800 25.0 ab
OBS: 60833.7 UVM2 1.6143600000e+02 1.6113900000e+02 21.9800 1.0800 25.0 ab
OBS: 60835.2 UVW1 4.0550900000e+02 4.0476200000e+02 20.9800 1.0800 25.0 ab
OBS: 60835.2 B 1.4190580000e+03 1.4164440000e+03 19.6200 1.0800 25.0 ab
OBS: 60835.2 U 7.6559700000e+02 7.6418700000e+02 20.2900 1.0800 25.0 ab
OBS: 60835.2 UVW2 1.8030200000e+02 1.7997000000e+02 21.8600 1.0800 25.0 ab
OBS: 60835.2 V 2.7289780000e+03 2.7239520000e+03 18.9100 1.0800 25.0 ab
OBS: 60835.2 UVM2 1.6904400000e+02 1.6873300000e+02 21.9300 1.0800 25.0 ab
