SURVEY: VIRGO_PROJECT
SNID: SN2014dt
RA: 185.49000000
DECL: 4.47180000
MWEBV: 0.0228
REDSHIFT_HELIO: 0.004900
FILTERS: B CLEAR I I1 I2 R U UVM2 UVW1 UVW2 Unknown V g gp i ip r rp up w y z zs
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 947
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 56959.7 B -9.9900000000e+02 -9.9900000000e+02 14.1050 0.0150 25.0 ab
OBS: 56959.7 R -9.9900000000e+02 -9.9900000000e+02 13.2960 0.0200 25.0 ab
OBS: 56959.7 I -9.9900000000e+02 -9.9900000000e+02 13.2550 0.0090 25.0 ab
OBS: 56959.7 V -9.9900000000e+02 -9.9900000000e+02 13.6200 0.0370 25.0 ab
OBS: 56975.5 UVW1 -9.9900000000e+02 -9.9900000000e+02 18.5160 0.2400 25.0 vega
OBS: 56975.5 U -9.9900000000e+02 -9.9900000000e+02 16.9640 0.1140 25.0 vega
OBS: 56975.5 B -9.9900000000e+02 -9.9900000000e+02 16.7690 0.0900 25.0 vega
OBS: 56975.5 UVW2 -9.9900000000e+02 -9.9900000000e+02 19.3210 0.4130 25.0 vega
OBS: 56975.5 V -9.9900000000e+02 -9.9900000000e+02 14.9690 0.0620 25.0 vega
OBS: 56982.8 UVW1 -9.9900000000e+02 -9.9900000000e+02 18.7650 0.2980 25.0 vega
OBS: 56982.8 U -9.9900000000e+02 -9.9900000000e+02 17.3450 0.1440 25.0 vega
OBS: 56982.8 B -9.9900000000e+02 -9.9900000000e+02 17.0770 0.1070 25.0 vega
OBS: 56982.8 UVW2 -9.9900000000e+02 -9.9900000000e+02 19.3470 0.4510 25.0 vega
OBS: 56982.8 V -9.9900000000e+02 -9.9900000000e+02 15.2650 0.0740 25.0 vega
OBS: 56983.0 B -9.9900000000e+02 -9.9900000000e+02 16.1860 0.0190 25.0 ab
OBS: 56983.0 V -9.9900000000e+02 -9.9900000000e+02 15.0150 0.0170 25.0 ab
OBS: 56983.0 R -9.9900000000e+02 -9.9900000000e+02 14.6100 0.0240 25.0 ab
OBS: 56983.0 I -9.9900000000e+02 -9.9900000000e+02 14.1790 0.0120 25.0 ab
OBS: 56986.0 V -9.9900000000e+02 -9.9900000000e+02 15.0390 0.0190 25.0 ab
OBS: 56986.0 R -9.9900000000e+02 -9.9900000000e+02 14.6100 0.0230 25.0 ab
OBS: 56986.0 B -9.9900000000e+02 -9.9900000000e+02 16.1560 0.0150 25.0 ab
OBS: 56987.0 R -9.9900000000e+02 -9.9900000000e+02 14.6260 0.0250 25.0 ab
OBS: 56987.0 V -9.9900000000e+02 -9.9900000000e+02 15.0610 0.0190 25.0 ab
OBS: 56987.0 B -9.9900000000e+02 -9.9900000000e+02 16.1610 0.0140 25.0 ab
OBS: 56987.0 I -9.9900000000e+02 -9.9900000000e+02 14.2380 0.0130 25.0 ab
OBS: 56987.6 CLEAR -9.9900000000e+02 -9.9900000000e+02 14.9490 0.0290 25.0 ab
OBS: 56987.6 V -9.9900000000e+02 -9.9900000000e+02 15.3480 0.0310 25.0 ab
OBS: 56987.6 R -9.9900000000e+02 -9.9900000000e+02 14.9310 0.0240 25.0 ab
OBS: 56987.6 I -9.9900000000e+02 -9.9900000000e+02 14.4420 0.0280 25.0 ab
OBS: 56987.6 B -9.9900000000e+02 -9.9900000000e+02 16.7450 0.0910 25.0 ab
OBS: 56987.9 U -9.9900000000e+02 -9.9900000000e+02 17.4560 0.1630 25.0 vega
OBS: 56987.9 B -9.9900000000e+02 -9.9900000000e+02 17.3270 0.1290 25.0 vega
OBS: 56987.9 V -9.9900000000e+02 -9.9900000000e+02 15.4450 0.0740 25.0 vega
OBS: 56988.6 CLEAR -9.9900000000e+02 -9.9900000000e+02 14.8880 0.1010 25.0 ab
OBS: 56991.9 I -9.9900000000e+02 -9.9900000000e+02 14.4470 0.0110 25.0 ab
OBS: 56991.9 V -9.9900000000e+02 -9.9900000000e+02 15.2210 0.0160 25.0 ab
OBS: 56991.9 R -9.9900000000e+02 -9.9900000000e+02 14.9400 0.0230 25.0 ab
OBS: 56991.9 B -9.9900000000e+02 -9.9900000000e+02 16.3380 0.0140 25.0 ab
OBS: 56995.0 R -9.9900000000e+02 -9.9900000000e+02 14.9610 0.0230 25.0 ab
OBS: 56995.0 B -9.9900000000e+02 -9.9900000000e+02 16.4140 0.0150 25.0 ab
OBS: 56995.0 V -9.9900000000e+02 -9.9900000000e+02 15.3360 0.0170 25.0 ab
OBS: 56995.0 I -9.9900000000e+02 -9.9900000000e+02 14.5560 0.0100 25.0 ab
OBS: 56996.2 I -9.9900000000e+02 -9.9900000000e+02 14.5730 0.0170 25.0 ab
OBS: 56996.2 R -9.9900000000e+02 -9.9900000000e+02 14.9730 0.0240 25.0 ab
OBS: 56996.2 V -9.9900000000e+02 -9.9900000000e+02 15.3090 0.0190 25.0 ab
OBS: 56996.2 B -9.9900000000e+02 -9.9900000000e+02 16.1960 0.0240 25.0 ab
OBS: 56999.0 B -9.9900000000e+02 -9.9900000000e+02 16.4180 0.0230 25.0 ab
OBS: 56999.0 V -9.9900000000e+02 -9.9900000000e+02 15.4270 0.0180 25.0 ab
OBS: 56999.0 R -9.9900000000e+02 -9.9900000000e+02 15.0590 0.0300 25.0 ab
OBS: 56999.0 I -9.9900000000e+02 -9.9900000000e+02 14.6420 0.0240 25.0 ab
OBS: 56999.6 CLEAR -9.9900000000e+02 -9.9900000000e+02 15.2970 0.0400 25.0 ab
OBS: 56999.6 I -9.9900000000e+02 -9.9900000000e+02 14.7670 0.0340 25.0 ab
OBS: 56999.6 V -9.9900000000e+02 -9.9900000000e+02 15.5080 0.0660 25.0 ab
OBS: 56999.6 R -9.9900000000e+02 -9.9900000000e+02 15.2040 0.0510 25.0 ab
