SURVEY: VIRGO_PROJECT
SNID: SN2020nlb
RA: 186.35080000
DECL: 18.20360000
MWEBV: 0.0167
REDSHIFT_HELIO: 0.003900
FILTERS: B G U UVM2 UVW1 UVW2 Unknown V cyan-ATLAS g g-ZTF gp i ip orange orange-ATLAS r r-ZTF rp u up w z zs
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 1160
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 58607.1 V 2.1602985000e+04 2.1602985000e+04 16.6640 1.0860 25.0 ab
OBS: 58607.1 B 1.6611145000e+04 1.6611145000e+04 16.9490 1.0860 25.0 ab
OBS: 59025.3 orange 1.0607181000e+04 7.5225700000e+02 17.4360 0.0770 25.0 ab
OBS: 59025.9 u -9.9900000000e+02 -9.9900000000e+02 18.7600 0.0400 25.0 ab
OBS: 59025.9 g -9.9900000000e+02 -9.9900000000e+02 16.6000 0.0100 25.0 ab
OBS: 59026.1 up 4.4239340000e+03 9.8738000000e+01 18.3850 0.0240 25.0 ab
OBS: 59026.1 gp 2.6364379000e+04 2.0832900000e+02 16.4470 0.0090 25.0 ab
OBS: 59026.1 rp 3.5475721000e+04 2.3593400000e+02 16.1250 0.0070 25.0 ab
OBS: 59026.1 ip 2.2724800000e+04 1.5216700000e+02 16.6090 0.0070 25.0 ab
OBS: 59026.2 g-ZTF 2.5721159000e+04 7.1339400000e+02 16.4740 0.0300 25.0 ab
OBS: 59026.3 g 3.0760968000e+04 2.8331900000e+02 16.2800 0.0100 25.0 ab
OBS: 59026.4 up 7.6989190000e+03 7.6989190000e+03 17.7840 1.0860 25.0 ab
OBS: 59026.4 gp 3.4012040000e+03 3.4012040000e+03 18.6710 1.0860 25.0 ab
OBS: 59026.4 rp 4.5665130000e+03 4.5665130000e+03 18.3510 1.0860 25.0 ab
OBS: 59026.4 ip 6.2781470000e+03 6.2781470000e+03 18.0050 1.0860 25.0 ab
OBS: 59026.4 B 5.5124225000e+04 2.2865100000e+03 15.6470 0.0450 25.0 ab
OBS: 59026.9 u -9.9900000000e+02 -9.9900000000e+02 17.5800 0.1000 25.0 ab
