SURVEY: VIRGO_PROJECT
SNID: SN2020nvb
RA: 187.24490000
DECL: 3.57280000
MWEBV: 0.0247
REDSHIFT_HELIO: 0.002400
FILTERS: B G U UVM2 UVW1 UVW2 Unknown V cyan-ATLAS g g-ZTF gp i ip orange orange-ATLAS r rp up w z
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 480
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 59030.3 orange 4.5248063800e+05 3.3340010000e+03 13.3610 0.0080 25.0 ab
OBS: 59031.7 g -9.9900000000e+02 -9.9900000000e+02 12.9380 0.0060 25.0 ab
OBS: 59031.7 B -9.9900000000e+02 -9.9900000000e+02 13.0940 0.0200 25.0 ab
OBS: 59031.7 V -9.9900000000e+02 -9.9900000000e+02 12.9770 0.0220 25.0 ab
OBS: 59031.7 i -9.9900000000e+02 -9.9900000000e+02 13.2090 0.0080 25.0 ab
OBS: 59031.7 r -9.9900000000e+02 -9.9900000000e+02 12.9420 0.0050 25.0 ab
OBS: 59031.8 up 4.7653566700e+05 6.4608750000e+03 13.3050 0.0150 25.0 ab
OBS: 59031.8 gp 3.1030530000e+03 3.1030530000e+03 18.7710 1.0860 25.0 ab
OBS: 59031.8 rp 6.3607723800e+05 4.3579530000e+03 12.9910 0.0070 25.0 ab
OBS: 59031.8 ip 5.0710901800e+05 3.2519280000e+03 13.2370 0.0070 25.0 ab
OBS: 59032.4 up 5.1072612100e+05 6.1364140000e+03 13.2300 0.0130 25.0 ab
OBS: 59032.4 gp 7.3508352800e+05 2.0311770000e+05 12.8340 0.3000 25.0 ab
OBS: 59032.4 rp 6.8635717000e+05 3.7620700000e+03 12.9090 0.0060 25.0 ab
OBS: 59032.4 ip 5.2937448000e+05 2.6947390000e+03 13.1900 0.0060 25.0 ab
OBS: 59032.8 V -9.9900000000e+02 -9.9900000000e+02 12.7600 0.0240 25.0 ab
OBS: 59032.8 i -9.9900000000e+02 -9.9900000000e+02 13.0730 0.0170 25.0 ab
OBS: 59032.8 B -9.9900000000e+02 -9.9900000000e+02 12.7910 0.0210 25.0 ab
OBS: 59032.8 g -9.9900000000e+02 -9.9900000000e+02 12.5170 0.0080 25.0 ab
OBS: 59032.8 r -9.9900000000e+02 -9.9900000000e+02 12.6880 0.0100 25.0 ab
OBS: 59033.4 V 8.2268444500e+05 2.2731289600e+05 12.7120 0.3000 25.0 ab
OBS: 59033.5 Unknown 9.1201083900e+05 8.3999303000e+04 12.6000 0.1000 25.0 ab
OBS: 59033.7 UVW1 1.4476415000e+05 5.0472650000e+03 14.5980 0.0380 25.0 ab
OBS: 59033.7 U 7.8822760700e+05 1.4360249000e+04 12.7580 0.0200 25.0 ab
OBS: 59033.7 B 8.3719150700e+05 2.9550692000e+04 12.6930 0.0380 25.0 ab
OBS: 59033.7 up 6.5842986700e+05 1.8206321800e+05 12.9540 0.3000 25.0 ab
OBS: 59033.7 UVW2 2.6996236000e+04 3.3797480000e+03 16.4220 0.1360 25.0 ab
OBS: 59033.7 gp 9.3593359000e+05 2.5862827300e+05 12.5720 0.3000 25.0 ab
OBS: 59033.8 V 8.8693601100e+05 3.7162370000e+04 12.6300 0.0460 25.0 ab
OBS: 59033.8 rp 8.4154076000e+05 2.3251980000e+05 12.6880 0.3000 25.0 ab
OBS: 59033.8 ip 6.3668965500e+05 3.5794450000e+03 12.9900 0.0060 25.0 ab
OBS: 59033.8 UVM2 2.5024820000e+04 1.7705970000e+03 16.5040 0.0770 25.0 ab
OBS: 59033.8 i -9.9900000000e+02 -9.9900000000e+02 12.9380 0.0060 25.0 ab
OBS: 59033.8 B -9.9900000000e+02 -9.9900000000e+02 12.6350 0.0200 25.0 ab
OBS: 59033.8 V -9.9900000000e+02 -9.9900000000e+02 12.5740 0.0220 25.0 ab
OBS: 59034.7 UVW1 1.6439488700e+05 6.6574220000e+03 14.4600 0.0440 25.0 ab
