SURVEY: VIRGO_PROJECT
SNID: SN2020ue
RA: 190.69490000
DECL: 2.65950000
MWEBV: 0.0280
REDSHIFT_HELIO: 0.002700
FILTERS: B G J U UVM2 UVW1 UVW2 Unknown V cyan-ATLAS g gp i ip orange orange-ATLAS r rp u up z
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 1031
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 58503.6 r 1.2686593000e+04 1.2686593000e+04 17.2420 1.0860 25.0 ab
OBS: 58814.6 cyan-ATLAS 3.5500000000e-01 2.6700000000e-01 20.1440 5.0000 25.0 ab
OBS: 58822.6 orange-ATLAS -7.1890000000e+00 5.7730000000e+00 -999.0000 -0.8720 25.0 ab
OBS: 58824.6 orange-ATLAS -3.1500000000e-01 2.0300000000e-01 -999.0000 -0.7000 25.0 ab
OBS: 58826.6 orange-ATLAS -3.4600000000e-01 2.0900000000e-01 -999.0000 -0.6570 25.0 ab
OBS: 58828.6 orange-ATLAS 1.8000000000e-02 3.5400000000e-01 20.2150 5.0000 25.0 ab
OBS: 58829.6 orange-ATLAS 5.9000000000e-01 4.7100000000e-01 19.5450 5.0000 25.0 ab
OBS: 58844.6 orange-ATLAS 8.1000000000e-02 1.9300000000e-01 20.7490 5.0000 25.0 ab
OBS: 58846.6 cyan-ATLAS 2.4100000000e-01 2.1700000000e-01 20.4250 5.0000 25.0 ab
OBS: 58850.7 orange-ATLAS -4.3400000000e-01 2.1000000000e-01 -999.0000 -0.5260 25.0 ab
OBS: 58852.6 orange-ATLAS -2.0600000000e-01 2.8000000000e-01 -999.0000 -1.4750 25.0 ab
OBS: 58861.1 rp 1.3033628100e+05 1.2604630000e+03 14.7130 0.0110 25.0 ab
OBS: 58861.1 up 1.0915036000e+05 2.3858930000e+03 14.9050 0.0240 25.0 ab
OBS: 58861.1 gp 1.4908461500e+05 1.5334560000e+03 14.5660 0.0110 25.0 ab
OBS: 58861.1 rp 1.3177975300e+05 1.2267840000e+03 14.7000 0.0100 25.0 ab
OBS: 58861.1 ip 1.0862372500e+05 9.4547100000e+02 14.9100 0.0090 25.0 ab
OBS: 58861.1 UVW1 1.8134585000e+04 5.1655500000e+02 16.8540 0.0310 25.0 ab
