SURVEY: VIRGO_PROJECT
SNID: SN2021hiz
RA: 186.42360000
DECL: 7.22840000
MWEBV: 0.0185
REDSHIFT_HELIO: 0.003800
FILTERS: B G U UVM2 UVW1 UVW2 Unknown V cyan-ATLAS g g-ZTF gp i i-ZTF ip orange orange-ATLAS r r-ZTF rp u unknown up z zp zs
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 1284
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 59204.7 z 1.0435000000e+01 4.3902900000e+02 24.9540 42.0730 25.0 ab
OBS: 59204.7 g 1.4481100000e+02 1.8773300000e+02 22.0980 1.2960 25.0 ab
OBS: 59205.6 r 1.5816500000e+02 8.1720000000e+01 22.0020 0.5170 25.0 ab
OBS: 59205.6 g 1.7800000000e+00 1.0308400000e+02 26.8740 57.9100 25.0 ab
OBS: 59206.6 i -5.8489000000e+01 6.0323000000e+01 -999.0000 -1.1200 25.0 ab
OBS: 59206.6 g 6.1494000000e+01 4.6768000000e+01 23.0280 0.7610 25.0 ab
OBS: 59207.6 r 1.5729500000e+02 1.2201900000e+02 22.0080 0.7760 25.0 ab
OBS: 59207.6 i 5.9200000000e+00 1.4086300000e+02 25.5690 23.7940 25.0 ab
OBS: 59208.7 z 6.8828000000e+01 1.4325100000e+02 22.9060 2.0810 25.0 ab
OBS: 59208.7 r 2.7723000000e+01 5.4729000000e+01 23.8930 1.9740 25.0 ab
OBS: 59209.6 r 1.1211500000e+02 1.4480300000e+02 22.3760 1.2920 25.0 ab
OBS: 59209.6 i -2.6703000000e+01 1.7836100000e+02 -999.0000 -7.2520 25.0 ab
OBS: 59212.6 r 1.2809600000e+02 1.0509800000e+02 22.2310 0.8200 25.0 ab
OBS: 59212.6 z -1.0427900000e+02 1.1468900000e+02 -999.0000 -1.1940 25.0 ab
OBS: 59213.7 r 1.7438700000e+02 3.6603100000e+02 21.8960 2.0990 25.0 ab
OBS: 59213.7 i 2.5999200000e+02 4.8451000000e+02 21.4630 1.8640 25.0 ab
OBS: 59214.6 z -3.9108400000e+02 3.5177500000e+02 -999.0000 -0.9770 25.0 ab
OBS: 59214.6 r -1.3509850000e+03 2.7117300000e+02 -999.0000 -0.2180 25.0 ab
OBS: 59216.6 r -4.5752900000e+02 3.3026000000e+02 -999.0000 -0.7840 25.0 ab
OBS: 59216.6 z -4.1077200000e+02 5.2481900000e+02 -999.0000 -1.3870 25.0 ab
OBS: 59222.6 g 4.8232000000e+01 1.0347900000e+02 23.2920 2.1450 25.0 ab
OBS: 59222.6 z -4.6205600000e+02 2.0877500000e+02 -999.0000 -0.4910 25.0 ab
OBS: 59224.6 g 1.1272400000e+02 2.3691400000e+02 22.3700 2.1020 25.0 ab
OBS: 59224.6 i -2.0365800000e+02 2.0009000000e+02 -999.0000 -1.0670 25.0 ab
OBS: 59225.6 g 1.9068000000e+01 1.9031200000e+02 24.2990 9.9810 25.0 ab
OBS: 59225.6 z -1.8572400000e+02 2.9933100000e+02 -999.0000 -1.7500 25.0 ab
OBS: 59226.6 g 6.3313000000e+01 1.3580600000e+02 22.9960 2.1450 25.0 ab
OBS: 59226.6 r 1.2417000000e+02 1.6015200000e+02 22.2650 1.2900 25.0 ab
OBS: 59228.6 z -1.1403000000e+02 3.3922300000e+02 -999.0000 -3.2300 25.0 ab
OBS: 59228.6 g -1.7922000000e+01 3.0213500000e+02 -999.0000 -18.3030 25.0 ab
OBS: 59229.6 g 1.2840200000e+02 6.3896000000e+01 22.2290 0.4980 25.0 ab
OBS: 59229.6 r 2.1310000000e+01 6.1535000000e+01 24.1780 2.8880 25.0 ab
OBS: 59230.6 g -4.0808000000e+01 1.5722200000e+02 -999.0000 -4.1830 25.0 ab
OBS: 59230.6 i 1.1249800000e+02 1.4779200000e+02 22.3720 1.3140 25.0 ab
OBS: 59231.6 g 3.0993000000e+01 1.9841000000e+02 23.7720 6.4020 25.0 ab
OBS: 59231.6 z 1.8517200000e+02 3.1574300000e+02 21.8310 1.7050 25.0 ab
OBS: 59235.5 g -3.1895000000e+01 2.9159700000e+02 -999.0000 -9.9260 25.0 ab
OBS: 59236.7 i 2.0395000000e+01 2.9234900000e+02 24.2260 14.3350 25.0 ab
OBS: 59236.7 g 1.0325800000e+02 2.2287800000e+02 22.4650 2.1580 25.0 ab
OBS: 59238.6 z 3.1963000000e+01 5.0022100000e+02 23.7380 15.6500 25.0 ab
OBS: 59238.6 r -4.4918000000e+01 2.2875000000e+02 -999.0000 -5.5290 25.0 ab
OBS: 59242.5 r -5.8559200000e+02 4.8365100000e+02 -999.0000 -0.8970 25.0 ab
OBS: 59242.5 z -2.6108740000e+03 6.8277800000e+02 -999.0000 -0.2840 25.0 ab
OBS: 59243.6 r -1.7600000000e+01 3.9763100000e+02 -999.0000 -24.5300 25.0 ab
OBS: 59243.6 i 1.4887100000e+02 2.8191200000e+02 22.0680 1.8940 25.0 ab
OBS: 59248.6 orange-ATLAS -5.6702200000e+02 4.9444300000e+02 -999.0000 -0.9470 25.0 ab
OBS: 59248.6 orange-ATLAS -3.7256300000e+02 3.8858300000e+02 -999.0000 -1.1320 25.0 ab
OBS: 59248.6 orange-ATLAS -9.2555000000e+02 4.6555200000e+02 -999.0000 -0.5460 25.0 ab
OBS: 59248.6 orange-ATLAS 9.5851700000e+02 2.4145050000e+03 20.0460 2.5190 25.0 ab
OBS: 59252.5 g 7.8789000000e+01 1.0665800000e+02 22.7590 1.3540 25.0 ab
OBS: 59252.5 i -1.8070000000e+01 1.4428900000e+02 -999.0000 -8.6700 25.0 ab
OBS: 59252.6 orange-ATLAS -4.7424200000e+02 3.5331000000e+02 -999.0000 -0.8090 25.0 ab
OBS: 59252.6 orange-ATLAS -1.0000000000e+11 2.1228000000e+12 -999.0000 -23.0480 25.0 ab
OBS: 59252.6 orange-ATLAS -3.2749100000e+02 2.8360800000e+02 -999.0000 -0.9400 25.0 ab
