SURVEY: VIRGO_PROJECT
SNID: SN2021qvv
RA: 187.01220000
DECL: 9.80290000
MWEBV: 0.0172
REDSHIFT_HELIO: 0.003700
FILTERS: B G U UVM2 UVW1 UVW2 Unknown V cyan-ATLAS g g-ZTF gp i ip orange orange-ATLAS r r-ZTF rp up z zs
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 395
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 59331.4 orange-ATLAS -1.7250000000e+00 7.6900000000e-01 -999.0000 -0.4840 25.0 ab
OBS: 59332.4 orange-ATLAS -2.4970000000e+00 6.3500000000e-01 -999.0000 -0.2760 25.0 ab
OBS: 59334.4 orange-ATLAS -6.3700000000e-01 4.6900000000e-01 -999.0000 -0.7990 25.0 ab
OBS: 59335.4 orange-ATLAS -5.8100000000e-01 1.0890000000e+00 -999.0000 -2.0360 25.0 ab
OBS: 59335.4 orange-ATLAS -9.6700000000e-01 4.0500000000e-01 -999.0000 -0.4540 25.0 ab
OBS: 59336.4 orange-ATLAS 1.2960000000e+00 4.9600000000e-01 19.1890 5.0000 25.0 ab
OBS: 59336.4 orange-ATLAS -7.2600000000e-01 1.1620000000e+00 -999.0000 -1.7370 25.0 ab
OBS: 59338.5 cyan-ATLAS 2.6500000000e+00 1.0890000000e+00 18.3700 5.0000 25.0 ab
OBS: 59338.5 cyan-ATLAS 8.7900000000e-01 4.7800000000e-01 19.3900 5.0000 25.0 ab
OBS: 59338.5 cyan-ATLAS 1.0530000000e+00 1.1260000000e+00 18.6840 5.0000 25.0 ab
OBS: 59339.4 cyan-ATLAS 1.5980000000e+00 1.8880000000e+00 18.1470 5.0000 25.0 ab
OBS: 59339.4 cyan-ATLAS -1.1260000000e+00 2.7590000000e+00 -999.0000 -2.6620 25.0 ab
OBS: 59339.5 cyan-ATLAS -8.2700000000e-01 8.8400000000e-01 -999.0000 -1.1600 25.0 ab
OBS: 59339.5 cyan-ATLAS -3.1000000000e-01 6.5400000000e-01 -999.0000 -2.2940 25.0 ab
OBS: 59339.5 cyan-ATLAS -1.8200000000e-01 1.3800000000e+00 -999.0000 -8.2520 25.0 ab
OBS: 59339.5 cyan-ATLAS 2.0330000000e+00 2.1060000000e+00 17.9960 5.0000 25.0 ab
OBS: 59339.5 cyan-ATLAS 1.4500000000e-01 1.2340000000e+00 18.8370 5.0000 25.0 ab
OBS: 59342.4 cyan-ATLAS -1.6700000000e+00 6.9000000000e-01 -999.0000 -0.4480 25.0 ab
OBS: 59342.4 cyan-ATLAS 2.2510000000e+00 9.4400000000e-01 18.5350 5.0000 25.0 ab
OBS: 59342.4 cyan-ATLAS 1.2730000000e+00 4.7400000000e-01 19.2240 5.0000 25.0 ab
OBS: 59342.4 cyan-ATLAS 9.4400000000e-01 8.3500000000e-01 18.9560 5.0000 25.0 ab
OBS: 59343.3 cyan-ATLAS 4.3600000000e-01 1.3070000000e+00 18.7020 5.0000 25.0 ab
OBS: 59343.3 cyan-ATLAS 1.7270000000e+00 4.8400000000e-01 19.7070 0.3040 25.0 ab
OBS: 59343.4 cyan-ATLAS 2.5780000000e+00 7.6200000000e-01 19.2720 0.3210 25.0 ab
OBS: 59345.4 orange-ATLAS -6.3500000000e-01 4.2100000000e-01 -999.0000 -0.7200 25.0 ab
OBS: 59345.4 orange-ATLAS -2.6870000000e+00 5.8100000000e-01 -999.0000 -0.2350 25.0 ab
OBS: 59345.4 orange-ATLAS -5.8100000000e-01 9.4400000000e-01 -999.0000 -1.7640 25.0 ab
OBS: 59346.4 cyan-ATLAS 5.8800000000e-01 3.2400000000e-01 19.8180 5.0000 25.0 ab
OBS: 59346.4 cyan-ATLAS -3.9900000000e-01 5.8100000000e-01 -999.0000 -1.5790 25.0 ab
OBS: 59347.4 cyan-ATLAS 2.1780000000e+00 6.5400000000e-01 19.4550 0.3260 25.0 ab
OBS: 59347.4 cyan-ATLAS 5.0800000000e-01 6.1700000000e-01 19.3680 5.0000 25.0 ab
OBS: 59347.4 cyan-ATLAS 7.3400000000e-01 2.9900000000e-01 19.7690 5.0000 25.0 ab
OBS: 59347.4 cyan-ATLAS 1.4160000000e+00 6.5400000000e-01 18.9790 5.0000 25.0 ab
OBS: 59349.3 orange-ATLAS -1.8520000000e+00 1.0170000000e+00 -999.0000 -0.5960 25.0 ab
OBS: 59349.3 orange-ATLAS -1.8390000000e+00 3.5200000000e-01 -999.0000 -0.2080 25.0 ab
OBS: 59350.4 cyan-ATLAS 1.2870000000e+00 3.7300000000e-01 20.0260 0.3140 25.0 ab
OBS: 59350.4 cyan-ATLAS 2.1060000000e+00 7.6200000000e-01 18.6930 5.0000 25.0 ab
OBS: 59352.3 orange-ATLAS -1.5250000000e+00 8.7100000000e-01 -999.0000 -0.6200 25.0 ab
OBS: 59352.4 orange-ATLAS -2.1720000000e+00 4.4800000000e-01 -999.0000 -0.2240 25.0 ab
OBS: 59352.4 orange-ATLAS -3.6310000000e+00 7.9900000000e-01 -999.0000 -0.2390 25.0 ab
OBS: 59353.3 orange-ATLAS -6.9000000000e-01 6.9000000000e-01 -999.0000 -1.0860 25.0 ab
OBS: 59353.3 orange-ATLAS -9.3800000000e-01 4.1100000000e-01 -999.0000 -0.4760 25.0 ab
OBS: 59353.4 orange-ATLAS -4.3600000000e-01 9.4400000000e-01 -999.0000 -2.3520 25.0 ab
