SURVEY: VIRGO_PROJECT
SNID: SN2021smj
RA: 186.69400000
DECL: 8.88270000
MWEBV: 0.0169
REDSHIFT_HELIO: 0.003600
FILTERS: B G U UVM2 UVW1 UVW2 Unknown V cyan cyan-ATLAS g g-ZTF gp i ip orange-ATLAS r r-ZTF rp up w z zs
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 685
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 59304.4 r 1.2740000000e+01 1.1278100000e+02 24.7370 8.8530 25.0 ab
OBS: 59304.4 z -1.1729600000e+02 2.1844700000e+02 -999.0000 -2.0220 25.0 ab
OBS: 59305.3 r 2.3316000000e+01 1.4147700000e+02 24.0810 6.0680 25.0 ab
OBS: 59305.3 i -3.6300000000e+00 1.0240800000e+02 -999.0000 -30.6270 25.0 ab
OBS: 59306.4 r -9.6259000000e+01 1.4555900000e+02 -999.0000 -1.6420 25.0 ab
OBS: 59306.4 z -5.9048000000e+01 2.5484600000e+02 -999.0000 -4.6860 25.0 ab
OBS: 59310.5 i -1.2959000000e+01 5.1435000000e+01 -999.0000 -4.3090 25.0 ab
OBS: 59310.5 g -1.0191400000e+02 6.7224000000e+01 -999.0000 -0.7160 25.0 ab
OBS: 59313.5 g -1.0798700000e+02 9.4517000000e+01 -999.0000 -0.9500 25.0 ab
OBS: 59313.5 i 1.1005600000e+02 9.2556000000e+01 22.3960 0.8410 25.0 ab
OBS: 59316.4 g 1.2244000000e+01 1.6206400000e+02 24.7800 13.2360 25.0 ab
OBS: 59316.4 i 1.1841300000e+02 3.5818800000e+02 22.3170 3.0250 25.0 ab
OBS: 59317.4 z -9.7298000000e+02 3.1949200000e+02 -999.0000 -0.3570 25.0 ab
OBS: 59317.4 g -3.8071200000e+02 1.1945000000e+02 -999.0000 -0.3410 25.0 ab
OBS: 59318.4 r -1.4500000000e+01 4.7976000000e+01 -999.0000 -3.5920 25.0 ab
OBS: 59318.4 g -2.8487000000e+01 5.9670000000e+01 -999.0000 -2.2740 25.0 ab
OBS: 59319.3 g -7.4505000000e+02 6.4637000000e+01 -999.0000 -0.0940 25.0 ab
OBS: 59319.3 i -6.9722900000e+02 8.3612000000e+01 -999.0000 -0.1300 25.0 ab
OBS: 59320.3 g -4.5089000000e+01 5.6418000000e+01 -999.0000 -1.3590 25.0 ab
OBS: 59320.3 z 8.5500000000e+00 9.9026000000e+01 25.1700 11.5820 25.0 ab
OBS: 59322.4 g 1.2926000000e+01 7.7671000000e+01 24.7210 6.0090 25.0 ab
OBS: 59322.4 i 6.3709000000e+01 8.7523000000e+01 22.9890 1.3740 25.0 ab
OBS: 59323.3 g 1.3504200000e+02 2.6600000000e+02 22.1740 1.9700 25.0 ab
OBS: 59323.3 z 2.2457000000e+01 3.1276400000e+02 24.1220 13.9270 25.0 ab
OBS: 59333.3 r 7.0470000000e+00 9.3324000000e+01 25.3800 13.2430 25.0 ab
OBS: 59333.3 z -3.4100000000e+01 3.0044100000e+02 -999.0000 -9.5660 25.0 ab
OBS: 59334.4 r -1.4813000000e+02 2.2411400000e+02 -999.0000 -1.6430 25.0 ab
OBS: 59334.4 i 1.5397700000e+02 1.7430600000e+02 22.0310 1.1320 25.0 ab
OBS: 59335.4 z 1.8400100000e+02 1.9092700000e+02 21.8380 1.0380 25.0 ab
OBS: 59335.4 r 8.8046000000e+01 2.6526200000e+02 22.6380 3.0130 25.0 ab
