SURVEY: VIRGO_PROJECT
SNID: SN2024gy
RA: 183.96370000
DECL: 13.11560000
MWEBV: 0.0233
REDSHIFT_HELIO: 0.004100
FILTERS: B I R U UVM2 UVW1 UVW2 Unknown V cyan-ATLAS g g-ZTF gp i i-ZTF ip orange-ATLAS r r-ZTF rp u w z zp
# ==========================================
# TERSE LIGHT CURVE OUTPUT:
#
NOBS: 1182
NVAR: 8
VARLIST: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR ZPT ZPSYS
OBS: 60254.6 r-ZTF -8.8950300000e+02 4.9888400000e+02 -999.0000 -0.6090 25.0 ab
OBS: 60254.6 r-ZTF -8.8950300000e+02 4.9888400000e+02 -999.0000 -0.6090 25.0 ab
OBS: 60254.6 r-ZTF -8.8950300000e+02 4.9888400000e+02 -999.0000 -0.6090 25.0 ab
OBS: 60254.6 r-ZTF -8.8950300000e+02 4.9888400000e+02 -999.0000 -0.6090 25.0 ab
OBS: 60254.6 r-ZTF -8.8950300000e+02 4.9888400000e+02 -999.0000 -0.6090 25.0 ab
OBS: 60259.5 r-ZTF 2.6481300000e+02 3.0208500000e+02 21.4430 1.2390 25.0 ab
OBS: 60260.5 r-ZTF -2.8516400000e+02 2.5060900000e+02 -999.0000 -0.9540 25.0 ab
OBS: 60260.5 r-ZTF -2.8516400000e+02 2.5060900000e+02 -999.0000 -0.9540 25.0 ab
OBS: 60260.5 r-ZTF -2.8516400000e+02 2.5060900000e+02 -999.0000 -0.9540 25.0 ab
OBS: 60260.5 r-ZTF -2.8516400000e+02 2.5060900000e+02 -999.0000 -0.9540 25.0 ab
OBS: 60260.5 r-ZTF -2.8516400000e+02 2.5060900000e+02 -999.0000 -0.9540 25.0 ab
OBS: 60261.5 r-ZTF 1.3280160000e+03 6.4489230000e+03 19.6920 5.2740 25.0 ab
OBS: 60286.6 orange-ATLAS -4.7400000000e-01 2.8400000000e-01 -999.0000 -0.6510 25.0 ab
OBS: 60287.5 r-ZTF 2.8617000000e+01 2.2524700000e+02 23.8580 8.5480 25.0 ab
OBS: 60287.6 cyan-ATLAS -0.0000000000e+00 2.5400000000e-01 -999.0000 -22353011134830368.0000 25.0 ab
OBS: 60289.5 g-ZTF 1.6602300000e+02 6.1050300000e+02 21.9500 3.9930 25.0 ab
OBS: 60290.6 cyan-ATLAS -2.4800000000e-01 2.4400000000e-01 -999.0000 -1.0670 25.0 ab
OBS: 60291.5 g-ZTF -1.6158600000e+02 1.6805200000e+02 -999.0000 -1.1290 25.0 ab
OBS: 60293.6 cyan-ATLAS 8.8000000000e-02 2.2300000000e-01 20.6040 5.0000 25.0 ab
OBS: 60294.6 orange-ATLAS -1.2000000000e-02 2.5800000000e-01 -999.0000 -23.7770 25.0 ab
OBS: 60295.6 orange-ATLAS -2.1400000000e-01 2.4600000000e-01 -999.0000 -1.2460 25.0 ab
OBS: 60296.6 cyan-ATLAS 4.9100000000e-01 5.6500000000e-01 19.4510 5.0000 25.0 ab
OBS: 60299.3 orange-ATLAS 2.1600000000e-01 3.4300000000e-01 20.0630 5.0000 25.0 ab
OBS: 60302.6 orange-ATLAS 1.9000000000e-01 3.1100000000e-01 20.1760 5.0000 25.0 ab
OBS: 60304.6 orange-ATLAS 3.7700000000e-01 3.0700000000e-01 20.0170 5.0000 25.0 ab
OBS: 60304.7 r 1.0230200000e+02 1.1643600000e+02 22.4750 1.1380 25.0 ab
OBS: 60304.7 i -4.2283000000e+01 1.3059700000e+02 -999.0000 -3.3530 25.0 ab
OBS: 60305.5 orange-ATLAS 7.7300000000e-01 4.1900000000e-01 19.5300 5.0000 25.0 ab
OBS: 60306.6 orange-ATLAS 2.5000000000e-02 4.0100000000e-01 20.0770 5.0000 25.0 ab
OBS: 60308.6 orange-ATLAS -4.9000000000e-02 4.7500000000e-01 -999.0000 -10.5490 25.0 ab
OBS: 60308.7 r -2.9540000000e+01 3.4937300000e+02 -999.0000 -12.8410 25.0 ab
OBS: 60308.7 z 5.0242000000e+02 2.9501000000e+02 20.7470 0.5870 25.0 ab
OBS: 60314.4 UVW1 4.6131800000e+02 4.6046800000e+02 20.8400 1.0800 25.0 ab
OBS: 60314.4 U 1.0092530000e+03 3.1651900000e+02 19.9900 0.3400 25.0 ab
OBS: 60314.4 B 1.8030177000e+04 1.3690670000e+03 16.8600 0.0800 25.0 ab
OBS: 60314.9 UVW1 4.9659200000e+02 1.5607500000e+02 20.7600 0.3400 25.0 ab
OBS: 60314.9 U 2.8054340000e+03 4.1654000000e+02 18.8800 0.1600 25.0 ab
OBS: 60314.9 B 2.3768403000e+04 1.5933390000e+03 16.5600 0.0700 25.0 ab
OBS: 60314.9 UVW2 2.1677000000e+02 2.1637100000e+02 21.6600 1.0800 25.0 ab
OBS: 60314.9 V 4.3251383000e+04 3.2109010000e+03 15.9100 0.0800 25.0 ab
OBS: 60314.9 UVM2 1.3427600000e+02 1.3402900000e+02 22.1800 1.0800 25.0 ab
OBS: 60315.2 Unknown 6.9183097000e+04 6.3720000000e+02 15.4000 0.0100 25.0 ab
OBS: 60315.4 g 6.7301508000e+04 7.3113200000e+02 15.4300 0.0120 25.0 ab
OBS: 60315.4 r 8.2726916000e+04 7.6000200000e+02 15.2060 0.0100 25.0 ab
OBS: 60315.4 i 2.0837510000e+03 2.0837510000e+03 19.2030 1.0860 25.0 ab
OBS: 60315.4 z 5.0389580000e+03 5.0389580000e+03 18.2440 1.0860 25.0 ab
OBS: 60315.4 r 8.7729199000e+04 8.4880600000e+02 15.1420 0.0110 25.0 ab
OBS: 60315.6 B 3.5974934000e+04 1.7838950000e+03 16.1100 0.0500 25.0 ab
OBS: 60315.6 UVW2 1.6443700000e+02 4.8665000000e+01 21.9600 0.3200 25.0 ab
OBS: 60315.6 Unknown 7.5231548000e+04 8.3149000000e+02 15.3090 0.0120 25.0 ab
OBS: 60315.6 orange-ATLAS 1.0707400000e+02 4.5300000000e-01 15.2260 0.0050 25.0 ab
OBS: 60315.6 V 6.1376201000e+04 3.9962730000e+03 15.5300 0.0700 25.0 ab
OBS: 60316.4 g 7.9069370000e+03 7.9069370000e+03 17.7550 1.0860 25.0 ab
OBS: 60316.4 r 1.1540102000e+04 1.1540102000e+04 17.3450 1.0860 25.0 ab
OBS: 60316.5 i 1.0103203100e+05 1.1504180000e+03 14.9890 0.0120 25.0 ab
OBS: 60316.5 i 9.7291937000e+04 1.7445970000e+03 15.0300 0.0190 25.0 ab
OBS: 60316.5 z 1.5633832700e+05 2.6817020000e+03 14.5140 0.0190 25.0 ab
OBS: 60316.6 g 1.2022644300e+05 1.1073260000e+03 14.8000 0.0100 25.0 ab
OBS: 60316.6 r 1.5649082200e+05 7.5552500000e+02 14.5140 0.0050 25.0 ab
OBS: 60317.5 r 9.6150150000e+04 1.4034360000e+03 15.0430 0.0160 25.0 ab
OBS: 60317.5 i 1.1148843800e+05 1.9408930000e+03 14.8820 0.0190 25.0 ab
OBS: 60318.3 g 3.5654950000e+03 3.5654950000e+03 18.6200 1.0860 25.0 ab
OBS: 60318.3 g 2.2003757800e+05 2.7031930000e+03 14.1440 0.0130 25.0 ab
OBS: 60318.3 r 2.5731804200e+05 2.2845850000e+03 13.9730 0.0100 25.0 ab
OBS: 60318.3 r 2.5203685900e+05 2.4601170000e+03 13.9970 0.0110 25.0 ab
OBS: 60318.3 i 1.9414059200e+05 2.3819880000e+03 14.2800 0.0130 25.0 ab
OBS: 60318.3 z 2.3990283500e+05 4.0653750000e+03 14.0500 0.0180 25.0 ab
OBS: 60318.3 z 2.5791031700e+05 3.7427630000e+03 13.9710 0.0160 25.0 ab
OBS: 60319.9 gp 3.4744742000e+05 5.5153370000e+03 13.6470 0.0170 25.0 ab
OBS: 60319.9 rp 4.0743487800e+05 5.1535060000e+03 13.4750 0.0140 25.0 ab
OBS: 60319.9 zp 3.3548033600e+05 5.4422290000e+03 13.6860 0.0180 25.0 ab
OBS: 60319.9 ip 3.1400150800e+05 4.3209710000e+03 13.7580 0.0150 25.0 ab
OBS: 60319.9 UVW1 1.0185914000e+04 7.1430600000e+02 17.4800 0.0800 25.0 ab
OBS: 60319.9 U 6.6069345000e+04 3.8476910000e+03 15.4500 0.0600 25.0 ab
OBS: 60319.9 UVW2 1.1481540000e+03 1.5137300000e+02 19.8500 0.1400 25.0 ab
OBS: 60319.9 B 2.2490546100e+05 1.1152421000e+04 14.1200 0.0500 25.0 ab
OBS: 60319.9 V 2.3334580600e+05 1.0956122000e+04 14.0800 0.0500 25.0 ab
OBS: 60319.9 UVM2 2.5822600000e+02 2.5775000000e+02 21.4700 1.0800 25.0 ab
OBS: 60320.4 r 4.4484299500e+05 3.3780430000e+03 13.3790 0.0080 25.0 ab
OBS: 60320.4 i 3.3233050300e+05 2.2725710000e+03 13.6960 0.0070 25.0 ab
OBS: 60320.4 g 3.7347549200e+05 3.4403630000e+03 13.5700 0.0100 25.0 ab
OBS: 60320.4 u 1.7661904100e+05 3.0695810000e+03 14.3820 0.0190 25.0 ab
OBS: 60320.5 g 1.7322771000e+04 1.7322771000e+04 16.9040 1.0860 25.0 ab
OBS: 60320.6 i 3.7975379200e+05 7.2110070000e+03 13.5510 0.0210 25.0 ab
OBS: 60320.6 z 4.4221889000e+04 4.4221889000e+04 15.8860 1.0860 25.0 ab
OBS: 60320.6 z 3.7033291500e+05 1.2240508000e+04 13.5780 0.0360 25.0 ab
OBS: 60320.6 orange-ATLAS 5.3589800000e+02 1.1520000000e+00 13.4770 0.0020 25.0 ab
OBS: 60320.8 UVW1 9.7274720000e+03 6.8215700000e+02 17.5300 0.0800 25.0 ab
OBS: 60320.8 rp 4.4563211600e+05 5.3706710000e+03 13.3780 0.0130 25.0 ab
OBS: 60320.8 U 7.5857758000e+04 4.4177400000e+03 15.3000 0.0600 25.0 ab
OBS: 60320.8 B 2.1877616200e+05 1.0848487000e+04 14.1500 0.0500 25.0 ab
OBS: 60320.8 gp 4.0027174000e+05 5.8093780000e+03 13.4940 0.0160 25.0 ab
OBS: 60320.8 zp 3.5959651300e+05 4.8959060000e+03 13.6110 0.0150 25.0 ab
OBS: 60320.8 ip 3.6001990600e+05 4.0976360000e+03 13.6090 0.0120 25.0 ab
OBS: 60321.2 B 3.4529331900e+05 6.3829730000e+03 13.6550 0.0200 25.0 ab
OBS: 60321.2 V 8.1247790000e+03 8.1247790000e+03 17.7260 1.0860 25.0 ab
OBS: 60321.2 R 5.7509518600e+05 9.1223520000e+03 13.1010 0.0170 25.0 ab
OBS: 60321.2 I 5.2093391900e+05 7.9359780000e+03 13.2080 0.0170 25.0 ab
OBS: 60321.3 r 5.2306399700e+05 3.4642900000e+03 13.2040 0.0070 25.0 ab
