# CREATED_DATE: 2020-06-25T10:40:34.598Z
# MODIFIED_DATE: 2023-07-05T07:20:59.237Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ZTF-Cam - r-ZTF
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN II
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: MESSIER085; (12:25:24.11, +18:11:29.40)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020nlb
# RA: 186.3507791228639
# DEC: 18.20355432507889
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-12-12T00:00:00Z
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2021-03-31T07:39:30Z
# NON_DETECT_LIMIT: 19.6671
# MW_EBV: 0.026
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10LYSEnmx/59195/1122524181181212800_59195.577_111130707_4_target.jpeg
# POSTAGE_STAMP_REF: 10LYSEnmx/59195/1122524181181212800_59195.577_111130707_4_ref.jpeg
# POSTAGE_STAMP_DIFF: 10LYSEnmx/59195/1122524181181212800_59195.577_111130707_4_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10LYSEnmx/59195/1122524181181212800_59195.577_111130707_4_target.fits
# POSTAGE_STAMP_REF_FITS: 10LYSEnmx/59195/1122524181181212800_59195.577_111130707_4_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10LYSEnmx/59195/1122524181181212800_59195.577_111130707_4_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: 0.032
# ALT_STATUS: CONFIRMED
# SLUG: 2020nlb
# REAL_BOGUS_SCORE: 0.999393
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [29, 32, 33, 45, 47]
# END: 
NVAR: 10 PHOTOMETRY
VARNAMES: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR MAGSYS TELESCOPE INSTRUMENT DQ
OBS:      59025.251  orange  10607.181  752.257  17.436  0.077  None  ATLAS  HKO  None
OBS:      59026.218  g-ZTF  25721.159  713.394  16.474  0.030  None  P48  ZTF-Cam  None
OBS:      59032.198  g-ZTF  532744.546  9599.574  13.184  0.020  None  P48  ZTF-Cam  None
OBS:      59032.215  r-ZTF  553692.429  10243.110  13.142  0.020  None  P48  ZTF-Cam  None
OBS:      59037.235  g-ZTF  1176212.220  14417.374  12.324  0.013  None  P48  ZTF-Cam  None
OBS:      59168.512  g-ZTF  35161.781  1047.373  16.135  0.032  None  P48  ZTF-Cam  None
OBS:      59170.495  g-ZTF  33526.568  943.364  16.187  0.031  None  P48  ZTF-Cam  None
OBS:      59170.556  r-ZTF  19334.965  678.565  16.784  0.038  None  P48  ZTF-Cam  None
OBS:      59173.490  g-ZTF  33818.965  858.108  16.177  0.028  None  P48  ZTF-Cam  None
OBS:      59175.503  r-ZTF  16696.365  1284.795  16.943  0.084  None  P48  ZTF-Cam  None
OBS:      59177.528  g-ZTF  30210.522  752.763  16.300  0.027  None  P48  ZTF-Cam  None
OBS:      59180.478  g-ZTF  28598.840  1037.508  16.359  0.039  None  P48  ZTF-Cam  None
OBS:      59180.559  r-ZTF  15902.479  639.454  16.996  0.044  None  P48  ZTF-Cam  None
OBS:      59184.511  r-ZTF  14337.378  529.198  17.109  0.040  None  P48  ZTF-Cam  None
OBS:      59184.543  g-ZTF  27564.272  678.899  16.399  0.027  None  P48  ZTF-Cam  None
OBS:      59186.524  g-ZTF  27552.459  1146.293  16.400  0.045  None  P48  ZTF-Cam  None
OBS:      59188.513  r-ZTF  13556.894  553.758  17.170  0.044  None  P48  ZTF-Cam  None
OBS:      59188.540  g-ZTF  26981.977  777.681  16.422  0.031  None  P48  ZTF-Cam  None
OBS:      59193.465  g-ZTF  24628.173  742.368  16.521  0.033  None  P48  ZTF-Cam  None
OBS:      59193.535  r-ZTF  11939.620  513.349  17.308  0.047  None  P48  ZTF-Cam  None
OBS:      59195.508  r-ZTF  11083.014  440.359  17.388  0.043  None  P48  ZTF-Cam  None
OBS:      59198.487  r-ZTF  11025.804  478.090  17.394  0.047  None  P48  ZTF-Cam  None
OBS:      59200.449  g-ZTF  21974.343  1110.576  16.645  0.055  None  P48  ZTF-Cam  None
