# CREATED_DATE: 2020-01-12T19:42:56.601Z
# MODIFIED_DATE: 2022-07-23T07:04:50.654Z
# STATUS: NeedsTemplate
# OBS_GROUP: YSE
# NON_DETECT_BAND: Gaia-Photometric - G
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: SN Ib/c
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: SDSSJ124243.88+024327.9; (12:42:43.89, +02:43:27.98)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2020ue
# RA: 190.6949078274054
# DEC: 2.6595073717721083
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2020-01-19T00:00:00Z
# REDSHIFT: 0.003
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2020-01-20T05:54:14Z
# NON_DETECT_LIMIT: 21.5
# MW_EBV: 0.025
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_target.jpeg
# POSTAGE_STAMP_REF: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_ref.jpeg
# POSTAGE_STAMP_DIFF: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_target.fits
# POSTAGE_STAMP_REF_FITS: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 10AYSEaes/58867/1124246771023934200_58867.608_101669914_2_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: 0.83
# ALT_STATUS: CONFIRMED
# SLUG: 2020ue
# REAL_BOGUS_SCORE: None
# HAS_HST: False
# HAS_SPITZER: None
# HAS_CHANDRA: True
# TAGS: [10, 22, 29, 32, 47, 77]
# END: 
NVAR: 10 PHOTOMETRY
VARNAMES: MJD FLT FLUXCAL FLUXCALERR MAG MAGERR MAGSYS TELESCOPE INSTRUMENT DQ
OBS: 58860.723 Unknown 100000.000 0.000 15.000 0.000 None Unknown Unknown None
OBS: 58861.052 sso1m::rp 130336.281 1260.463 14.713 0.011 None Siding_Spring_1m Sinistro None
OBS: 58861.088 sso1m::up 109150.360 2385.893 14.905 0.024 None Siding_Spring_1m Sinistro None
OBS: 58861.090 sso1m::gp 149084.615 1533.456 14.566 0.011 None Siding_Spring_1m Sinistro None
OBS: 58861.091 sso1m::rp 131779.753 1226.784 14.700 0.010 None Siding_Spring_1m Sinistro None
OBS: 58861.092 sso1m::ip 108623.725 945.471 14.910 0.009 None Siding_Spring_1m Sinistro None
OBS: 58861.297 sso1m::B 140439.963 1470.716 14.631 0.011 None Siding_Spring_1m Sinistro None
OBS: 58861.304 sso1m::V 156063.529 1372.988 14.517 0.010 None Siding_Spring_1m Sinistro None
OBS: 58861.308 sso1m::gp 149543.251 1244.147 14.563 0.009 None Siding_Spring_1m Sinistro None
OBS: 58861.313 sso1m::rp 139292.248 990.127 14.640 0.008 None Siding_Spring_1m Sinistro None
OBS: 58861.315 sso1m::ip 114088.085 763.437 14.857 0.007 None Siding_Spring_1m Sinistro None
OBS: 58861.504 sso1m::up 136235.130 3659.003 14.664 0.029 None Siding_Spring_1m Sinistro None
OBS: 58861.505 sso1m::gp 179424.097 1815.304 14.365 0.011 None Siding_Spring_1m Sinistro None
OBS: 58861.507 sso1m::rp 157104.967 1369.520 14.510 0.009 None Siding_Spring_1m Sinistro None
OBS: 58861.508 sso1m::ip 127956.621 1053.743 14.732 0.009 None Siding_Spring_1m Sinistro None
OBS: 58862.017 sso1m::up 180630.082 5281.219 14.358 0.032 None Siding_Spring_1m Sinistro None
OBS: 58862.017 sso1m::B 224090.944 2601.935 14.124 0.013 None Siding_Spring_1m Sinistro None
OBS: 58862.018 sso1m::gp 226557.493 2475.342 14.112 0.012 None Siding_Spring_1m Sinistro None
OBS: 58862.019 sso1m::rp 200013.083 1982.894 14.247 0.011 None Siding_Spring_1m Sinistro None
OBS: 58862.021 sso1m::ip 163131.317 1555.080 14.468 0.010 None Siding_Spring_1m Sinistro None
OBS: 58862.022 sso1m::V 221881.205 2231.104 14.135 0.011 None Siding_Spring_1m Sinistro None
OBS: 58862.029 sso1m::gp 234032.201 2161.758 14.077 0.010 None Siding_Spring_1m Sinistro None
OBS: 58862.031 sso1m::rp 203550.218 1610.958 14.228 0.009 None Siding_Spring_1m Sinistro None
OBS: 58862.037 sso1m::ip 164774.132 1240.831 14.458 0.008 None Siding_Spring_1m Sinistro None
OBS: 58862.337 sso1m::up 56121.280 56121.280 15.627 1.086 None Siding_Spring_1m Sinistro Bad
OBS: 58862.338 sso1m::gp 244357.120 2231.339 14.030 0.010 None Siding_Spring_1m Sinistro None
OBS: 58862.339 sso1m::rp 224346.508 1687.679 14.123 0.008 None Siding_Spring_1m Sinistro None
OBS: 58862.341 sso1m::ip 187795.296 1362.865 14.315 0.008 None Siding_Spring_1m Sinistro None
OBS: 58862.659 sso1m::B 277860.714 6608.810 13.891 0.026 None Siding_Spring_1m Sinistro None
OBS: 58862.661 sso1m::V 268516.916 5905.275 13.928 0.024 None Siding_Spring_1m Sinistro None
OBS: 58862.668 sso1m::gp 279060.127 3793.330 13.885 0.015 None Siding_Spring_1m Sinistro None
OBS: 58862.672 sso1m::rp 256284.457 3094.972 13.978 0.013 None Siding_Spring_1m Sinistro None
OBS: 58862.674 sso1m::ip 215958.570 2390.131 14.164 0.012 None Siding_Spring_1m Sinistro None
OBS: 58863.013 sso1m::up 308766.016 9404.771 13.776 0.033 None Siding_Spring_1m Sinistro None
OBS: 58863.014 sso1m::gp 355035.409 4261.195 13.625 0.013 None Siding_Spring_1m Sinistro None
OBS: 58863.016 sso1m::rp 306707.082 3528.960 13.783 0.012 None Siding_Spring_1m Sinistro None
OBS: 58863.017 sso1m::ip 251027.218 2575.620 14.001 0.011 None Siding_Spring_1m Sinistro None
OBS: 58866.314 sso1m::up 817653.806 27364.722 12.718 0.036 None Siding_Spring_1m Sinistro None
OBS: 58866.316 sso1m::gp 809234.567 6438.898 12.730 0.009 None Siding_Spring_1m Sinistro None
OBS: 58866.317 sso1m::rp 762408.261 5130.280 12.795 0.007 None Siding_Spring_1m Sinistro None
OBS: 58866.318 sso1m::ip 584933.496 3646.548 13.082 0.007 None Siding_Spring_1m Sinistro None
OBS: 58866.339 sso1m::up 792356.987 31500.462 12.752 0.043 None Siding_Spring_1m Sinistro None
OBS: 58866.340 sso1m::gp 886578.372 7494.792 12.631 0.009 None Siding_Spring_1m Sinistro None
OBS: 58866.341 sso1m::rp 770759.882 5795.928 12.782 0.008 None Siding_Spring_1m Sinistro None
OBS: 58866.343 sso1m::ip 615534.783 4736.134 13.027 0.008 None Siding_Spring_1m Sinistro None
OBS: 58867.335 sso1m::up 968025.438 21709.682 12.535 0.024 None Siding_Spring_1m Sinistro None
OBS: 58867.336 sso1m::gp 1034156.613 6915.498 12.463 0.007 None Siding_Spring_1m Sinistro None
OBS: 58867.338 sso1m::rp 927270.226 5350.423 12.582 0.006 None Siding_Spring_1m Sinistro None
OBS: 58867.339 sso1m::ip 690453.510 4302.487 12.902 0.007 None Siding_Spring_1m Sinistro None
OBS: 58867.701 sso1m::gp 1058333.637 11039.367 12.438 0.011 None Siding_Spring_1m Sinistro None
OBS: 58867.703 sso1m::up 991161.567 21477.004 12.510 0.024 None Siding_Spring_1m Sinistro None
OBS: 58867.705 sso1m::rp 943156.358 6331.057 12.564 0.007 None Siding_Spring_1m Sinistro None
OBS: 58867.707 sso1m::ip 709791.685 4732.199 12.872 0.007 None Siding_Spring_1m Sinistro None
OBS: 58868.250 sso1m::up 1079482.792 43464.397 12.417 0.044 None Siding_Spring_1m Sinistro None
OBS: 58868.251 sso1m::gp 1073538.708 7608.913 12.422 0.008 None Siding_Spring_1m Sinistro None
OBS: 58868.253 sso1m::rp 1007701.770 6302.329 12.492 0.007 None Siding_Spring_1m Sinistro None
OBS: 58868.254 sso1m::ip 19792.522 19792.522 16.759 1.086 None Siding_Spring_1m Sinistro Bad
OBS: 58868.283 sso1m::B 1096131.388 10163.718 12.400 0.010 None Siding_Spring_1m Sinistro None
OBS: 58868.284 sso1m::V 1075644.045 7708.301 12.421 0.008 None Siding_Spring_1m Sinistro None
OBS: 58868.286 sso1m::gp 1073591.156 7435.825 12.423 0.008 None Siding_Spring_1m Sinistro None
OBS: 58868.290 sso1m::rp 980290.916 6235.377 12.522 0.007 None Siding_Spring_1m Sinistro None
OBS: 58868.292 sso1m::ip 746762.248 4495.653 12.817 0.007 None Siding_Spring_1m Sinistro None
OBS: 58868.641 sso1m::up 208753.529 208753.529 14.201 1.086 None Siding_Spring_1m Sinistro Bad
OBS: 58868.642 sso1m::gp 1190712.162 10581.493 12.311 0.010 None Siding_Spring_1m Sinistro None
OBS: 58868.644 sso1m::rp 1018871.905 7200.057 12.480 0.008 None Siding_Spring_1m Sinistro None
OBS: 58868.645 sso1m::ip 790577.674 5960.848 12.755 0.008 None Siding_Spring_1m Sinistro None
