JD,phase,Instrument,Filter,mag,mag_err
59025.94,-16.12,LT/IO:O,u,18.76,0.04
59026.87,-15.2,Schmidt,u,17.58,0.1
59026.93,-15.13,LT/IO:O,u,17.61,0.04
59028.87,-13.2,Schmidt,u,15.8,0.07
59028.94,-13.13,LT/IO:O,u,15.64,0.06
59029.9,-12.17,LT/IO:O,u,14.89,0.03
59030.93,-11.14,LT/IO:O,u,14.26,0.03
59031.92,-10.16,LT/IO:O,u,13.77,0.04
59032.9,-9.18,LT/IO:O,u,13.41,0.09
59033.89,-8.19,LT/IO:O,u,13.15,0.03
59034.89,-7.2,LT/IO:O,u,13.01,0.06
59035.89,-6.2,Schmidt,u,12.84,0.09
59035.9,-6.19,LT/IO:O,u,12.98,0.03
59036.89,-5.2,LT/IO:O,u,12.76,0.05
59037.86,-4.23,Schmidt,u,12.81,0.03
59038.86,-3.23,Schmidt,u,12.78,0.06
59039.91,-2.19,LT/IO:O,u,12.68,0.15
59040.91,-1.19,LT/IO:O,u,12.66,0.04
59041.91,-0.19,LT/IO:O,u,12.69,0.06
59043.9,1.79,LT/IO:O,u,12.86,0.04
59044.92,2.81,LT/IO:O,u,12.98,0.04
59049.94,7.82,NOT/ALFOSC,u,13.54,0.14
59050.89,8.77,LT/IO:O,u,13.72,0.05
59052.9,10.77,LT/IO:O,u,13.98,0.06
59054.89,12.76,LT/IO:O,u,14.31,0.04
59056.89,14.76,LT/IO:O,u,14.63,0.04
59059.9,17.75,LT/IO:O,u,15.04,0.15
59060.88,18.73,LT/IO:O,u,15.21,0.13
59064.88,22.72,LT/IO:O,u,15.58,0.08
59066.87,24.71,LT/IO:O,u,15.71,0.07
59070.87,28.7,LT/IO:O,u,16.05,0.09
59073.86,31.68,LT/IO:O,u,16.16,0.16
59163.27,120.88,LT/IO:O,u,18.29,0.1
59172.25,129.84,LT/IO:O,u,18.5,0.05
59189.22,146.77,LT/IO:O,u,18.92,0.16
59201.23,158.75,LT/IO:O,u,19.17,0.05
59206.16,163.67,LT/IO:O,u,19.13,0.07
59233.14,190.58,NOT/ALFOSC,u,19.65,0.07
59257.12,214.51,LT/IO:O,u,20.13,0.09
59025.94,-16.12,LT/IO:O,g,16.6,0.01
59026.88,-15.19,Schmidt,g,15.75,0.02
59026.93,-15.14,LT/IO:O,g,15.71,0.02
59028.88,-13.19,Schmidt,g,14.49,0.01
59028.94,-13.13,LT/IO:O,g,14.43,0.02
59029.9,-12.17,LT/IO:O,g,14.01,0.02
59030.93,-11.14,LT/IO:O,g,13.61,0.02
59031.92,-10.16,LT/IO:O,g,13.26,0.04
