Telescope,MJD,Filter,Mag,Mag_Err
1m0-13,59031.73,B,13.094,0.02
1m0-13,59031.73,V,12.977,0.022
1m0-13,59031.73,g,12.938,0.006
1m0-13,59031.74,r,12.942,0.005
1m0-13,59031.74,i,13.209,0.008
1m0-13,59032.79,B,12.791,0.021
1m0-13,59032.79,V,12.76,0.024
1m0-13,59032.79,g,12.517,0.008
1m0-13,59032.79,r,12.688,0.01
1m0-13,59032.79,i,13.073,0.017
1m0-12,59033.8,B,12.635,0.02
1m0-12,59033.8,V,12.574,0.022
1m0-12,59033.8,i,12.938,0.006
1m0-11,59035.41,B,12.522,0.02
1m0-11,59035.41,V,12.513,0.022
1m0-11,59037.4,V,12.364,0.022
1m0-11,59037.41,i,12.886,0.005
1m0-10,59038.7,B,12.417,0.02
1m0-10,59038.7,V,12.306,0.022
1m0-10,59038.71,i,12.91,0.006
1m0-12,59047.76,B,12.954,0.02
1m0-12,59047.76,V,12.56,0.022
1m0-12,59047.76,r,12.756,0.005
1m0-12,59047.76,i,13.492,0.009
1m0-11,59051.36,B,13.554,0.021
1m0-11,59051.36,V,12.957,0.022
1m0-11,59051.36,g,13.036,0.006
1m0-11,59051.36,r,12.934,0.006
1m0-11,59051.36,i,13.456,0.01
1m0-13,59053.73,V,12.956,0.022
1m0-13,59053.73,g,13.308,0.006
1m0-13,59053.73,r,13.052,0.018
1m0-13,59053.73,i,13.512,0.007
0m4-07,59057.71,V,13.368,0.049
0m4-07,59057.71,r,13.231,0.062
0m4-04,59060.25,B,15.047,0.05
0m4-04,59060.25,V,13.528,0.03
0m4-04,59060.25,g,14.015,0.019
1m0-10,59060.72,V,13.452,0.022
1m0-10,59060.72,g,14.166,0.005
1m0-10,59060.72,r,13.276,0.005
1m0-10,59060.72,i,13.416,0.006
1m0-10,59063.72,B,14.839,0.021
1m0-10,59063.72,V,13.71,0.022
1m0-10,59063.72,g,14.459,0.006
1m0-10,59063.72,r,13.508,0.005
1m0-10,59063.72,i,13.624,0.008
0m4-03,59066.35,V,14.024,0.035
0m4-03,59066.35,g,14.534,0.028
0m4-03,59066.35,r,13.611,0.03
0m4-03,59066.35,i,13.658,0.041
1m0-13,59066.72,B,15.192,0.026
1m0-13,59066.72,V,14.028,0.025
1m0-13,59066.72,g,14.704,0.009
1m0-13,59066.72,r,13.81,0.011
1m0-13,59066.72,i,13.833,0.012
1m0-11,59071.38,B,15.154,0.024
1m0-11,59071.38,V,14.167,0.024
1m0-11,59071.38,g,14.714,0.01
1m0-11,59071.38,r,13.978,0.008
1m0-11,59071.38,i,14.012,0.012
