obsdate,jd,flux,fluxerr,limflux,flux_unit,instrument,telescope,filters,exptime,observer,remarks
2022-01-12 14:44:10,2459592.114,17.75,0.02,22.0,"{'id': 1, 'name': 'ABMag'}","{'id': 257, 'name': 'GPC2'}","{'id': 154, 'name': 'PS2'}","{'id': 26, 'name': 'w-P1'}",45.0,Robot,
2021-10-30 13:06:53,2459518.0464468,16.473,0.0305156,18.6958,"{'id': 1, 'name': 'ABMag'}","{'id': 196, 'name': 'ZTF-Cam'}","{'id': 1, 'name': 'P48'}","{'id': 111, 'name': 'r-ZTF'}",30.0,Robot,Data provided by ZTF
2021-10-30 13:03:29,2459518.0440856,16.4904,0.0397215,19.0638,"{'id': 1, 'name': 'ABMag'}","{'id': 196, 'name': 'ZTF-Cam'}","{'id': 1, 'name': 'P48'}","{'id': 111, 'name': 'r-ZTF'}",30.0,Robot,Data provided by ZTF
2021-10-30 13:00:05,2459518.0417245,16.4711,0.0317526,19.3097,"{'id': 1, 'name': 'ABMag'}","{'id': 196, 'name': 'ZTF-Cam'}","{'id': 1, 'name': 'P48'}","{'id': 111, 'name': 'r-ZTF'}",30.0,Robot,Data provided by ZTF
2021-10-30 12:56:40,2459518.0393519,16.4734,0.0401937,19.4267,"{'id': 1, 'name': 'ABMag'}","{'id': 196, 'name': 'ZTF-Cam'}","{'id': 1, 'name': 'P48'}","{'id': 111, 'name': 'r-ZTF'}",30.0,Robot,Data provided by ZTF
2021-10-30 12:56:40,2459518.0393519,16.47,0.04,19.43,"{'id': 1, 'name': 'ABMag'}","{'id': 196, 'name': 'ZTF-Cam'}","{'id': 1, 'name': 'P48'}","{'id': 111, 'name': 'r-ZTF'}",30.0,,
2021-10-30 12:56:40,2459518.0393519,16.47,0.04,19.43,"{'id': 1, 'name': 'ABMag'}","{'id': 196, 'name': 'ZTF-Cam'}","{'id': 1, 'name': 'P48'}","{'id': 111, 'name': 'r-ZTF'}",30.0,,
2021-10-30 12:53:15,2459518.0369792,16.4637,0.0312636,19.5265,"{'id': 1, 'name': 'ABMag'}","{'id': 196, 'name': 'ZTF-Cam'}","{'id': 1, 'name': 'P48'}","{'id': 111, 'name': 'r-ZTF'}",30.0,Robot,Data provided by ZTF
2021-10-30 12:53:15,2459518.0369792,16.46,0.03,19.53,"{'id': 1, 'name': 'ABMag'}","{'id': 196, 'name': 'ZTF-Cam'}","{'id': 1, 'name': 'P48'}","{'id': 111, 'name': 'r-ZTF'}",30.0,,
2021-10-30 12:53:15,2459518.0369792,16.46,0.03,19.53,"{'id': 1, 'name': 'ABMag'}","{'id': 196, 'name': 'ZTF-Cam'}","{'id': 1, 'name': 'P48'}","{'id': 111, 'name': 'r-ZTF'}",30.0,,
2021-07-25 04:45:07,2459420.698,12.87,0.2,,"{'id': 1, 'name': 'ABMag'}","{'id': 163, 'name': 'Gaia-photometric'}","{'id': 107, 'name': 'Gaia'}","{'id': 75, 'name': 'G-Gaia'}",60.0,Robot,
2021-06-18 23:19:41,2459384.472,,,21.5,"{'id': 1, 'name': 'ABMag'}","{'id': 163, 'name': 'Gaia-photometric'}","{'id': 107, 'name': 'Gaia'}","{'id': 75, 'name': 'G-Gaia'}",,Robot,[Last non detection] 
2021-07-05 06:38:53,2459400.777,,,19.71,"{'id': 1, 'name': 'ABMag'}","{'id': 160, 'name': 'ATLAS-01'}","{'id': 104, 'name': 'ATLAS-MLO'}","{'id': 72, 'name': 'orange-ATLAS'}",30.0,Robot,[Last non detection] 
2021-07-08 06:25:55,2459403.768,17.025,0.042,19.52,"{'id': 1, 'name': 'ABMag'}","{'id': 159, 'name': 'ATLAS-02'}","{'id': 103, 'name': 'ATLAS-HKO'}","{'id': 71, 'name': 'cyan-ATLAS'}",30.0,Robot,
2021-07-07 06:51:50,2459402.786,19.35,0.07,20.7,"{'id': 1, 'name': 'ABMag'}","{'id': 155, 'name': 'GPC1'}","{'id': 98, 'name': 'PS1'}","{'id': 58, 'name': 'i-P1'}",27.0,Robot,
2022-01-14 01:50:25,2459593.5766782,17.5,0.5,18.0,"{'id': 2, 'name': 'STMag'}","{'id': 0, 'name': 'Other'}","{'id': 0, 'name': 'Other'}","{'id': 1, 'name': 'Clear-'}",90.0,R.Belligoli,"New transient was clearly detected on '2022-01-14.0766' UT using 3x30s frames (90s total) obtained by a Moravian G4-9000 KAF unfiltered CCD with the 0.4m f.8 Ritchey-Chrétien telescope from Monte Baldo ""A.Gelodi"" Astronomic Observatory, località Novezzina, Ferrara di Monte Baldo, Verona, Italy. The discovery magnitude is 17.5±0.5 mag in the CV band (clear visual). We will continue to monitor the PSN light curve and strongly encourage additional follow-up observations. "
2022-01-12 03:34:40,2459591.6490741,17.8,0.5,18.0,"{'id': 2, 'name': 'STMag'}","{'id': 0, 'name': 'Other'}","{'id': 0, 'name': 'Other'}","{'id': 1, 'name': 'Clear-'}",90.0,R.Belligoli,"New transient was clearly detected on '2022-01-12.14925' UT using 3x30s frames (90s total) obtained by a Moravian G4-9000 KAF unfiltered CCD with the 0.4m f.8 Ritchey-Chrétien telescope from Monte Baldo ""A.Gelodi"" Astronomic Observatory, località Novezzina, Ferrara di Monte Baldo, Verona, Italy. The discovery magnitude is 17.8±0.5 mag in the CV band (clear visual). We will continue to monitor the PSN light curve and strongly encourage additional follow-up observations. "
2020-03-16 23:23:07,2458925.4743866,,,18.0,"{'id': 2, 'name': 'STMag'}","{'id': 0, 'name': 'Other'}","{'id': 0, 'name': 'Other'}","{'id': 1, 'name': 'Clear-'}",90.0,R.Belligoli,"[Last non detection] Last non-detected image on '2020-03-16T23:23:07' UT using 3x30s frames (90s total) was obtained by a Moravian G4-9000 KAF unfiltered CCD with the 0.4m f.8 Ritchey-Chrétien telescope from Monte Baldo ""A.Gelodi"" Astronomic Observatory, località Novezzina, Ferrara di Monte Baldo, Verona, Italy. (Latitudine 45° 41' 52"" N. Longitudine 10° 51' 32"" E)"
